category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,correctButton,interval,delete.thisRepN,delete.thisTrialN,delete.thisN,delete.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,bResponse.stopped,kb_2.keys,kb_2.rt,kb_2.duration,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012353300000540912,0.012749999994412065,0.013163900002837181,0.02824810001766309,0.02824810001766309,0.5795383999939077,['5'],[0.5481492999824695],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h55.33.529,pilotv2,2023.2.3,60.0944925930786,2023-11-08 17h55.39.988048 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,0,0,0,0,1.7970883999951184,,,,,,,,,,,0.5868833000422455,0.5953426000196487,1.7970883999951184,1.5809708000160754,1.5814126000041142,1.7970883999951184,1.7970883999951184,2.0469424000475556,2.0469424000475556,2.031952099991031,2.031982699991204,2.0469424000475556,2.41494160000002,2.281328000011854,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h55.33.529,pilotv2,2023.2.3,60.0944925930786,2023-11-08 17h55.39.988048 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,1,0,1,0,2.41494160000002,,,,,,,,,,,,,,,2.2817497000214644,2.41494160000002,2.41494160000002,2.6637457000324503,2.6637457000324503,2.6476915000239387,2.647714500024449,2.6637457000324503,3.083999300026335,2.8978964000125416,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h55.33.529,pilotv2,2023.2.3,60.0944925930786,2023-11-08 17h55.39.988048 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,2,0,2,0,3.083999300026335,,,,,,,,,,,,,,,2.898245000047609,3.083999300026335,3.083999300026335,3.3310158000094816,3.3310158000094816,3.3153536000172608,3.3153676000074483,3.3310158000094816,3.6482995999976993,3.565530800027773,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h55.33.529,pilotv2,2023.2.3,60.0944925930786,2023-11-08 17h55.39.988048 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5831512000295334,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,3.6482995999976993,7.002228200028185,3,0.33661479997681454,None,None,12,0,2023-11-08_17h55.33.529,pilotv2,2023.2.3,60.0944925930786,2023-11-08 17h55.39.988048 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,0,0,0,0,8.15202949999366,,,,,,,,,,,7.014226500003133,7.034250700031407,8.15202949999366,8.019647200009786,8.020191700023133,8.15202949999366,8.15202949999366,8.402222600008827,8.402222600008827,8.386155100015458,8.386169000004884,8.402222600008827,8.75479340000311,8.636345000006258,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h55.33.529,pilotv2,2023.2.3,60.0944925930786,2023-11-08 17h55.39.988048 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,1,0,1,0,8.75479340000311,,,,,,,,,,,,,,,8.636608100030571,8.75479340000311,8.75479340000311,9.002578800020274,9.002578800020274,8.986596000031568,8.98662510002032,9.002578800020274,9.419395000033546,9.236772600037511,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h55.33.529,pilotv2,2023.2.3,60.0944925930786,2023-11-08 17h55.39.988048 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,2,0,2,0,9.419395000033546,,,,,,,,,,,,,,,9.237166900013108,9.419395000033546,9.419395000033546,9.670111600018572,9.670111600018572,9.653839000035077,9.65385260002222,9.670111600018572,9.95358860003762,9.904224800004158,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h55.33.529,pilotv2,2023.2.3,60.0944925930786,2023-11-08 17h55.39.988048 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.925982800021302,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,9.95358860003762,13.357201600039843,4,0.38424640003358945,None,None,12,0,2023-11-08_17h55.33.529,pilotv2,2023.2.3,60.0944925930786,2023-11-08 17h55.39.988048 +0100,
turtle,3,stim//ori1.png,stim//turtle3.png,Full Left,Full Right,Half Left,Half Right,Car,Shoe,Turtle,Horse,False,4,2.49,,,,,0,2,2,2,0,0,0,0,14.49061120004626,,,,,,,,,,,13.358861000044271,13.372992700024042,14.49061120004626,14.357905100041535,14.358976000046823,14.49061120004626,14.49061120004626,14.740886300045531,14.740886300045531,14.724843700008933,14.72485699999379,14.740886300045531,15.107549700012896,14.975112000014633,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h55.33.529,pilotv2,2023.2.3,60.0944925930786,2023-11-08 17h55.39.988048 +0100,
