category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,correctButton,interval,delete.thisRepN,delete.thisTrialN,delete.thisN,delete.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,IntroBaby.started,key_resp_14.started,text_17.started,IntroBaby.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,bResponse.stopped,kb_2.keys,kb_2.rt,kb_2.duration,key_resp_2.keys,trainingIntro.started,text_20.started,key_resp_15.started,trainingIntro.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007013399968855083,0.0076370000024326146,0.008287000004202127,0.021906399982981384,0.021906399982981384,1.7078529999707825,['space'],[1.680152899993118],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,0,0,0,0,,,,,2.958239500003401,,,,,,,,,,,1.7276365999714471,1.7398903999710456,2.958239500003401,2.7242803999688476,2.7247169999754988,2.958239500003401,2.958239500003401,3.2080115999560803,3.2080115999560803,3.1922068999847397,3.1922213999787346,3.2080115999560803,3.574808699951973,3.441945599974133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,1,0,1,0,,,,,3.574808699951973,,,,,,,,,,,,,,,3.4421927999937907,3.574808699951973,3.574808699951973,3.82511340000201,3.82511340000201,3.8088559999596328,3.8088853000081144,3.82511340000201,4.24167929997202,4.059132699971087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,2,0,2,0,,,,,4.24167929997202,,,,,,,,,,,,,,,4.059379999991506,4.24167929997202,4.24167929997202,4.492243799963035,4.492243799963035,4.476166100008413,4.476189199951477,4.492243799963035,4.843189299979713,4.726388399954885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.783097599982284,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,4.843189299979713,8.646789899969008,3,0.7939780000015162,None,None,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,0,0,0,0,,,,,9.764017599984072,,,,,,,,,,,8.649564099963754,8.662171199976001,9.764017599984072,9.647394699975848,9.647851199959405,9.764017599984072,9.764017599984072,10.01384849997703,10.01384849997703,9.997856099973433,9.997891799954232,10.01384849997703,10.363563499995507,10.247929300006945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,1,0,1,0,,,,,10.363563499995507,,,,,,,,,,,,,,,10.248468699981458,10.363563499995507,10.363563499995507,10.613963299954776,10.613963299954776,10.597899299988057,10.597922199987806,10.613963299954776,11.047476399980951,10.847891899989918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,2,0,2,0,,,,,11.047476399980951,,,,,,,,,,,,,,,10.848308299959172,11.047476399980951,11.047476399980951,11.297982199990656,11.297982199990656,11.281719799968414,11.281749799964018,11.297982199990656,11.581504500005394,11.532060099998489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.552816899958998,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,11.581504500005394,15.452566399995703,1,0.8559060999541543,None,None,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
turtle,3,stim//ori1.png,stim//turtle3.png,Full Left,Full Right,Half Left,Half Right,Car,Shoe,Turtle,Horse,False,4,2.49,,,,,0,2,2,2,0,0,0,0,,,,,16.585610799957067,,,,,,,,,,,15.453736800001934,15.467907499987632,16.585610799957067,16.453010299999733,16.453840099973604,16.585610799957067,16.585610799957067,16.835927099979017,16.835927099979017,16.82004609995056,16.82006120000733,16.835927099979017,17.185788600007072,17.07022379996488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
