2.3659 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
8.0549 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
8.8364 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002090DC35370>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002090DC35310>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002090DC35160>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002090E1F6340>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.8365 	EXP 	window1: mouseVisible = True
8.8365 	EXP 	window1: backgroundImage = ''
8.8366 	EXP 	window1: backgroundFit = 'none'
8.8382 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.8382 	EXP 	window1: recordFrameIntervals = False
9.0024 	EXP 	window1: recordFrameIntervals = True
9.1859 	EXP 	Screen (0) actual frame rate measured at 60.20Hz
9.1859 	EXP 	window1: recordFrameIntervals = False
9.1861 	EXP 	window1: mouseVisible = False
11.2969 	EXP 	pilotv2: status = STARTED
11.2972 	EXP 	window1: mouseVisible = True
11.3069 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
11.3072 	EXP 	window1: mouseVisible = True
11.3073 	EXP 	window1: mouseVisible = True
11.3077 	EXP 	window1: mouseVisible = True
11.3081 	EXP 	window1: mouseVisible = True
11.3214 	EXP 	window1: mouseVisible = True
11.3216 	EXP 	window1: mouseVisible = True
11.3220 	EXP 	window1: mouseVisible = True
11.3224 	EXP 	window1: mouseVisible = True
11.3335 	EXP 	window1: mouseVisible = True
11.3338 	EXP 	window1: mouseVisible = True
11.3339 	EXP 	window1: mouseVisible = True
11.3343 	EXP 	window1: mouseVisible = True
11.3347 	EXP 	window1: mouseVisible = True
11.3454 	EXP 	window1: mouseVisible = True
11.3455 	EXP 	window1: mouseVisible = True
11.3459 	EXP 	window1: mouseVisible = True
11.3463 	EXP 	window1: mouseVisible = True
11.3496 	EXP 	window1: mouseVisible = True
11.3498 	EXP 	window1: mouseVisible = True
