category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,delete.thisRepN,delete.thisTrialN,delete.thisN,delete.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,bResponse.stopped,kb_2.keys,kb_2.rt,kb_2.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015026100038085133,0.015531100041698664,0.01592000003438443,0.03234790003625676,0.03234790003625676,3.1688549000537023,['5'],[3.1280421999981627],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h44.54.414,pilotv2,2023.2.3,59.84547897410082,2023-11-08 15h45.06.975871 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,0,0,0,0,4.3856903000269085,,,,,,,,,,,3.1759891000110656,3.1843743000063114,4.3856903000269085,4.169248800026253,4.169711599999573,4.3856903000269085,4.3856903000269085,4.635236200003419,4.635236200003419,4.618875600048341,4.618888600030914,4.635236200003419,5.002447900013067,4.869494900049176,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h44.54.414,pilotv2,2023.2.3,59.84547897410082,2023-11-08 15h45.06.975871 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,1,0,1,0,5.002447900013067,,,,,,,,,,,,,,,4.86974980001105,5.002447900013067,5.002447900013067,5.252812000049744,5.252812000049744,5.236891200009268,5.236906100006308,5.252812000049744,5.669524800032377,5.486974500003271,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h44.54.414,pilotv2,2023.2.3,59.84547897410082,2023-11-08 15h45.06.975871 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,2,0,2,0,5.669524800032377,,,,,,,,,,,,,,,5.4872376000275835,5.669524800032377,5.669524800032377,5.91995599999791,5.91995599999791,5.90363710001111,5.903650699998252,5.91995599999791,6.237224900047295,6.153656500042416,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h44.54.414,pilotv2,2023.2.3,59.84547897410082,2023-11-08 15h45.06.975871 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.169097500038333,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,6.237224900047295,12.409697299997788,3,0.3386311000213027,None,space,6.162395099992864,None,15,0,2023-11-08_15h44.54.414,pilotv2,2023.2.3,59.84547897410082,2023-11-08 15h45.06.975871 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,0,0,0,0,13.52636950003216,,,,,,,,,,,12.41113600000972,12.4255259000347,13.52636950003216,13.409779700043146,13.410232499998529,13.52636950003216,13.52636950003216,13.776924400008284,13.776924400008284,13.760439200035762,13.760452200018335,13.776924400008284,14.143293500004802,14.010193000023719,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h44.54.414,pilotv2,2023.2.3,59.84547897410082,2023-11-08 15h45.06.975871 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,1,0,1,0,14.143293500004802,,,,,,,,,,,,,,,14.010478100040928,14.143293500004802,14.143293500004802,14.393292499997187,14.393292499997187,14.377349200018216,14.37736290000612,14.393292499997187,14.810558500001207,14.627986800041981,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h44.54.414,pilotv2,2023.2.3,59.84547897410082,2023-11-08 15h45.06.975871 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,2,0,2,0,14.810558500001207,,,,,,,,,,,,,,,14.628232600050978,14.810558500001207,14.810558500001207,15.061093299998902,15.061093299998902,15.04481819999637,15.04483310005162,15.061093299998902,15.344424800015986,15.295003400009591,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h44.54.414,pilotv2,2023.2.3,59.84547897410082,2023-11-08 15h45.06.975871 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.314871300011873,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,15.344424800015986,18.86493670003256,1,0.23134380002738908,None,space,3.511048699961975,None,15,0,2023-11-08_15h44.54.414,pilotv2,2023.2.3,59.84547897410082,2023-11-08 15h45.06.975871 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,18.88004010001896,,,,,,,,,,,18.86617940000724,18.88004010001896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
