category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,delete.thisRepN,delete.thisTrialN,delete.thisN,delete.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,bResponse.stopped,kb_2.keys,kb_2.rt,kb_2.duration,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02126700000371784,0.021625900000799447,0.02202260005287826,0.038806900032795966,0.038806900032795966,0.42322820000117645,['5'],[0.372942799993325],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h57.15.360,pilotv2,2023.2.3,60.1933893081552,2023-11-08 15h57.22.220573 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,0,0,0,0,1.5892518000327982,,,,,,,,,,,0.4308644999982789,0.4386658000294119,1.5892518000327982,1.424210800032597,1.424981000018306,1.5892518000327982,1.5892518000327982,1.8404421000159346,1.8404421000159346,1.8237629000213929,1.8237923000124283,1.8404421000159346,2.1902257000328973,2.0737124000443146,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h57.15.360,pilotv2,2023.2.3,60.1933893081552,2023-11-08 15h57.22.220573 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,1,0,1,0,2.1902257000328973,,,,,,,,,,,,,,,2.0739666000008583,2.1902257000328973,2.1902257000328973,2.4406169000430964,2.4406169000430964,2.425912700011395,2.425935900013428,2.4406169000430964,2.8567033000290394,2.6742724000359885,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h57.15.360,pilotv2,2023.2.3,60.1933893081552,2023-11-08 15h57.22.220573 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,2,0,2,0,2.8567033000290394,,,,,,,,,,,,,,,2.674521300010383,2.8567033000290394,2.8567033000290394,3.1077400000067428,3.1077400000067428,3.0920244000153616,3.092042100033723,3.1077400000067428,3.4246459000278264,3.3417010999983177,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h57.15.360,pilotv2,2023.2.3,60.1933893081552,2023-11-08 15h57.22.220573 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3668515000026673,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,3.4246459000278264,6.34425750002265,3,0.4838774999952875,None,None,15,0,2023-11-08_15h57.15.360,pilotv2,2023.2.3,60.1933893081552,2023-11-08 15h57.22.220573 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,0,0,0,0,7.461023200012278,,,,,,,,,,,6.345580600027461,6.359908100042958,7.461023200012278,7.344827000051737,7.345552800048608,7.461023200012278,7.461023200012278,7.711189800000284,7.711189800000284,7.694840300013311,7.6948644000221975,7.711189800000284,8.062334400019608,7.945243299996946,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h57.15.360,pilotv2,2023.2.3,60.1933893081552,2023-11-08 15h57.22.220573 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,1,0,1,0,8.062334400019608,,,,,,,,,,,,,,,7.945669500040822,8.062334400019608,8.062334400019608,8.31144800002221,8.31144800002221,8.296179099997971,8.296209499996621,8.31144800002221,8.728602200048044,8.545887000043876,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h57.15.360,pilotv2,2023.2.3,60.1933893081552,2023-11-08 15h57.22.220573 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,2,0,2,0,8.728602200048044,,,,,,,,,,,,,,,8.546132900053635,8.728602200048044,8.728602200048044,8.978813100024126,8.978813100024126,8.962332000024617,8.962355500028934,8.978813100024126,9.262305700045545,9.212653900031,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h57.15.360,pilotv2,2023.2.3,60.1933893081552,2023-11-08 15h57.22.220573 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23334200005047,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,9.262305700045545,12.21570400003111,2,1.8291953000007197,None,None,15,0,2023-11-08_15h57.15.360,pilotv2,2023.2.3,60.1933893081552,2023-11-08 15h57.22.220573 +0100,
car,1,stim//obj1.png,stim//car1.png,Half Left,Full Right,Full Left,Half Right,Car,Turtle,Horse,Shoe,False,2.877,,,,,0,2,2,2,0,0,0,0,13.332312900049146,,,,,,,,,,,12.216898100043181,12.231518100015819,13.332312900049146,13.2164445000235,13.217281700053718,13.332312900049146,13.332312900049146,13.582437500008382,13.582437500008382,13.56648680003127,13.56650090002222,13.582437500008382,13.933071800041944,13.816617300035432,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h57.15.360,pilotv2,2023.2.3,60.1933893081552,2023-11-08 15h57.22.220573 +0100,
