0.8965 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.2282 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.8472 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000234365D9EE0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000234372598E0>, multiSample=False, name='window1', numSamples=2, pos=(-1920, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.8473 	EXP 	window1: mouseVisible = True
4.8473 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.8473 	EXP 	window1: recordFrameIntervals = False
5.0136 	EXP 	window1: recordFrameIntervals = True
5.1968 	EXP 	Screen (0) actual frame rate measured at 59.85Hz
5.1968 	EXP 	window1: recordFrameIntervals = False
6.4869 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
6.5495 	EXP 	Imported rootDesignMatrix.xlsx as conditions, 64 conditions, 4 params
6.5513 	EXP 	Created sequence: sequential, trialTypes=64, nReps=1, seed=None
6.5515 	EXP 	New trial (rep=0, index=0): {'category': 'cat', 'orientation': 1, 'taskOrientation': 1, 'stimfile': 'stim//cat1.png'}
6.5518 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
6.5519 	EXP 	New trial (rep=0, index=0): None
6.7331 	EXP 	image: image = 'stim//cat1.png'
6.7331 	EXP 	image: autoDraw = True
6.7480 	EXP 	New trial (rep=1, index=0): None
6.8473 	EXP 	image: autoDraw = False
6.8473 	EXP 	image: image = 'stim//cat1.png'
6.8473 	EXP 	image: autoDraw = True
6.9982 	EXP 	New trial (rep=2, index=0): None
7.0971 	EXP 	image: autoDraw = False
7.0971 	EXP 	image: image = 'stim//cat1.png'
7.0971 	EXP 	image: autoDraw = True
7.2485 	EXP 	New trial (rep=0, index=1): {'category': 'cat', 'orientation': 1, 'taskOrientation': 0, 'stimfile': 'stim//cat1.png'}
7.2488 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
7.2489 	EXP 	New trial (rep=0, index=0): None
7.3477 	EXP 	image: autoDraw = False
7.3477 	EXP 	image: image = 'stim//cat1.png'
7.3477 	EXP 	image: autoDraw = True
7.5146 	EXP 	New trial (rep=1, index=0): None
7.6146 	EXP 	image: autoDraw = False
7.6146 	EXP 	image: image = 'stim//cat1.png'
7.6146 	EXP 	image: autoDraw = True
7.7655 	EXP 	New trial (rep=2, index=0): None
7.8644 	EXP 	image: autoDraw = False
7.8644 	EXP 	image: image = 'stim//cat1.png'
7.8644 	EXP 	image: autoDraw = True
8.0161 	EXP 	New trial (rep=0, index=2): {'category': 'cat', 'orientation': 2, 'taskOrientation': 1, 'stimfile': 'stim//cat2.png'}
8.0164 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
8.0165 	EXP 	New trial (rep=0, index=0): None
8.1146 	EXP 	image: autoDraw = False
8.1146 	EXP 	image: image = 'stim//cat2.png'
8.1146 	EXP 	image: autoDraw = True
8.2827 	EXP 	New trial (rep=1, index=0): None
8.3816 	EXP 	image: autoDraw = False
8.3816 	EXP 	image: image = 'stim//cat2.png'
8.3816 	EXP 	image: autoDraw = True
8.5329 	EXP 	New trial (rep=2, index=0): None
8.6320 	EXP 	image: autoDraw = False
8.6320 	EXP 	image: image = 'stim//cat2.png'
8.6320 	EXP 	image: autoDraw = True
8.7839 	EXP 	New trial (rep=0, index=3): {'category': 'cat', 'orientation': 2, 'taskOrientation': 0, 'stimfile': 'stim//cat2.png'}
8.7842 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
8.7843 	EXP 	New trial (rep=0, index=0): None
8.8819 	EXP 	image: autoDraw = False
8.8819 	EXP 	image: image = 'stim//cat2.png'
8.8819 	EXP 	image: autoDraw = True
9.0493 	EXP 	New trial (rep=1, index=0): None
9.1491 	EXP 	image: autoDraw = False
9.1491 	EXP 	image: image = 'stim//cat2.png'
9.1491 	EXP 	image: autoDraw = True
9.2998 	EXP 	New trial (rep=2, index=0): None
9.3994 	EXP 	image: autoDraw = False
9.3994 	EXP 	image: image = 'stim//cat2.png'
9.3994 	EXP 	image: autoDraw = True
9.5508 	EXP 	New trial (rep=0, index=4): {'category': 'cat', 'orientation': 3, 'taskOrientation': 1, 'stimfile': 'stim//cat3.png'}
9.5512 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
9.5513 	EXP 	New trial (rep=0, index=0): None
9.6663 	EXP 	image: autoDraw = False
9.6663 	EXP 	image: image = 'stim//cat3.png'
9.6663 	EXP 	image: autoDraw = True
9.8176 	EXP 	New trial (rep=1, index=0): None
9.9163 	EXP 	image: autoDraw = False
9.9163 	EXP 	image: image = 'stim//cat3.png'
9.9163 	EXP 	image: autoDraw = True
10.0673 	EXP 	New trial (rep=2, index=0): None
10.1666 	EXP 	image: autoDraw = False
10.1666 	EXP 	image: image = 'stim//cat3.png'
10.1666 	EXP 	image: autoDraw = True
10.3181 	EXP 	New trial (rep=0, index=5): {'category': 'cat', 'orientation': 3, 'taskOrientation': 0, 'stimfile': 'stim//cat3.png'}
10.3186 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
10.3187 	EXP 	New trial (rep=0, index=0): None
10.4165 	EXP 	image: autoDraw = False
10.4165 	EXP 	image: image = 'stim//cat3.png'
10.4165 	EXP 	image: autoDraw = True
10.5845 	EXP 	New trial (rep=1, index=0): None
10.6836 	EXP 	image: autoDraw = False
10.6836 	EXP 	image: image = 'stim//cat3.png'
10.6836 	EXP 	image: autoDraw = True
10.8344 	EXP 	New trial (rep=2, index=0): None
10.9336 	EXP 	image: autoDraw = False
10.9336 	EXP 	image: image = 'stim//cat3.png'
10.9336 	EXP 	image: autoDraw = True
11.0860 	EXP 	New trial (rep=0, index=6): {'category': 'cat', 'orientation': 4, 'taskOrientation': 1, 'stimfile': 'stim//cat4.png'}
11.0865 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
11.0866 	EXP 	New trial (rep=0, index=0): None
11.1857 	EXP 	image: autoDraw = False
11.1857 	EXP 	image: image = 'stim//cat4.png'
11.1857 	EXP 	image: autoDraw = True
11.3517 	EXP 	New trial (rep=1, index=0): None
11.4510 	EXP 	image: autoDraw = False
11.4510 	EXP 	image: image = 'stim//cat4.png'
11.4510 	EXP 	image: autoDraw = True
11.6016 	EXP 	New trial (rep=2, index=0): None
11.7016 	EXP 	image: autoDraw = False
11.7016 	EXP 	image: image = 'stim//cat4.png'
11.7016 	EXP 	image: autoDraw = True
11.8529 	EXP 	New trial (rep=0, index=7): {'category': 'cat', 'orientation': 4, 'taskOrientation': 0, 'stimfile': 'stim//cat4.png'}
11.8532 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
11.8533 	EXP 	New trial (rep=0, index=0): None
11.9513 	EXP 	image: autoDraw = False
11.9513 	EXP 	image: image = 'stim//cat4.png'
11.9513 	EXP 	image: autoDraw = True
12.1189 	EXP 	New trial (rep=1, index=0): None
12.2183 	EXP 	image: autoDraw = False
12.2183 	EXP 	image: image = 'stim//cat4.png'
12.2183 	EXP 	image: autoDraw = True
12.3686 	EXP 	New trial (rep=2, index=0): None
12.4682 	EXP 	image: autoDraw = False
12.4682 	EXP 	image: image = 'stim//cat4.png'
12.4682 	EXP 	image: autoDraw = True
12.6199 	EXP 	New trial (rep=0, index=8): {'category': 'auto', 'orientation': 1, 'taskOrientation': 1, 'stimfile': 'stim//auto1.png'}
12.6203 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
12.6204 	EXP 	New trial (rep=0, index=0): None
12.7188 	EXP 	image: autoDraw = False
12.7188 	EXP 	image: image = 'stim//auto1.png'
12.7188 	EXP 	image: autoDraw = True
12.8864 	EXP 	New trial (rep=1, index=0): None
12.9854 	EXP 	image: autoDraw = False
12.9854 	EXP 	image: image = 'stim//auto1.png'
12.9854 	EXP 	image: autoDraw = True
13.1358 	EXP 	New trial (rep=2, index=0): None
13.2359 	EXP 	image: autoDraw = False
13.2359 	EXP 	image: image = 'stim//auto1.png'
13.2359 	EXP 	image: autoDraw = True
13.3709 	EXP 	New trial (rep=0, index=9): {'category': 'auto', 'orientation': 1, 'taskOrientation': 0, 'stimfile': 'stim//auto1.png'}
13.3712 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
13.3713 	EXP 	New trial (rep=0, index=0): None
13.4694 	EXP 	image: autoDraw = False
13.4694 	EXP 	image: image = 'stim//auto1.png'
13.4694 	EXP 	image: autoDraw = True
13.6363 	EXP 	New trial (rep=1, index=0): None
13.7360 	EXP 	image: autoDraw = False
13.7360 	EXP 	image: image = 'stim//auto1.png'
13.7360 	EXP 	image: autoDraw = True
13.8873 	EXP 	New trial (rep=2, index=0): None
13.9862 	EXP 	image: autoDraw = False
13.9862 	EXP 	image: image = 'stim//auto1.png'
13.9862 	EXP 	image: autoDraw = True
14.1383 	EXP 	New trial (rep=0, index=10): {'category': 'auto', 'orientation': 2, 'taskOrientation': 1, 'stimfile': 'stim//auto2.png'}
14.1386 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
14.1388 	EXP 	New trial (rep=0, index=0): None
14.2534 	EXP 	image: autoDraw = False
14.2534 	EXP 	image: image = 'stim//auto2.png'
14.2534 	EXP 	image: autoDraw = True
14.4045 	EXP 	New trial (rep=1, index=0): None
14.5035 	EXP 	image: autoDraw = False
14.5035 	EXP 	image: image = 'stim//auto2.png'
14.5035 	EXP 	image: autoDraw = True
14.6538 	EXP 	New trial (rep=2, index=0): None
14.7536 	EXP 	image: autoDraw = False
14.7536 	EXP 	image: image = 'stim//auto2.png'
14.7536 	EXP 	image: autoDraw = True
14.8387 	DATA 	Keypress: escape
14.9055 	EXP 	New trial (rep=0, index=11): {'category': 'auto', 'orientation': 2, 'taskOrientation': 0, 'stimfile': 'stim//auto2.png'}
14.9058 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
14.9060 	EXP 	New trial (rep=0, index=0): None
15.0036 	EXP 	image: autoDraw = False
15.0036 	EXP 	image: image = 'stim//auto2.png'
15.0036 	EXP 	image: autoDraw = True
15.6366 	EXP 	window1: mouseVisible = True
