category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,codeAcc.started,codeAcc.stopped,ITI.started,fixCrossR.started,text_total.started,text_acc.started,text_total.stopped,text_acc.stopped,fixCrossR.stopped,ITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024308399995788932,0.024784000008367002,0.02526999998372048,0.04054760001599789,0.04054760001599789,1.3593441999983042,['5'],[1.302864299970679],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
horse,3,stim//obj1.png,stim//horse3.png,Shoe,Turtle,Car,Horse,Full Left,Half Right,Full Right,Half Left,True,2.275,,,,,0,0,0,0,0,0,0,0,2.5749366999953054,,,,,,,,,,,1.3816066000144929,1.390105800004676,2.374684599984903,2.3756014999817125,2.5749366999953054,2.5749366999953054,2.8250143000041135,2.8250143000041135,2.8092122999951243,2.8092436000006273,2.8250143000041135,3.1751951000187546,3.0597316999919713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
horse,3,stim//obj1.png,stim//horse3.png,Shoe,Turtle,Car,Horse,Full Left,Half Right,Full Right,Half Left,True,2.275,,,,,0,0,0,0,1,0,1,0,3.1751951000187546,,,,,,,,,,,,,,3.0602173000224866,3.1751951000187546,3.1751951000187546,3.4255073000094853,3.4255073000094853,3.409857999999076,3.4098732999991626,3.4255073000094853,3.8425556999864057,3.660021700023208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
horse,3,stim//obj1.png,stim//horse3.png,Shoe,Turtle,Car,Horse,Full Left,Half Right,Full Right,Half Left,True,2.275,,,,,0,0,0,0,2,0,2,0,3.8425556999864057,,,,,,,,,,,,,,3.660397300031036,3.8425556999864057,3.8425556999864057,4.092687600001227,4.092687600001227,4.076707300031558,4.076737100025639,4.092687600001227,4.409340500016697,4.327051999978721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
horse,3,stim//obj1.png,stim//horse3.png,Shoe,Turtle,Car,Horse,Full Left,Half Right,Full Right,Half Left,True,2.275,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.355866700003389,4.409340500016697,4.409340500016697,4.409340500016697,4.409340500016697,4.409340500016697,4.409340500016697,4.409340500016697,4.409340500016697,4.409340500016697,4.409340500016697,4.409340500016697,4.409340500016697,4.409340500016697,4.409340500016697,7.328932999982499,4,1.1258243000484072,None,7.330707599991001,7.330995000025723,7.331007100001443,7.345479000010528,7.345479000010528,7.345479000010528,8.546476099989377,8.546476099989377,9.630669299978763,9.61463999998523,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
turtle,1,stim//obj1.png,stim//turtle1.png,Half Right,Full Left,Half Left,Full Right,Horse,Turtle,Shoe,Car,False,2.495,,,,,0,1,1,1,0,0,0,0,10.731638199998997,,,,,,,,,,,9.614927200018428,9.630669299978763,10.614903800014872,10.615774000005331,10.731638199998997,10.731638199998997,10.981813299993519,10.981813299993519,10.965870100015309,10.965900100010913,10.981813299993519,11.33187789999647,11.216029900009744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
turtle,1,stim//obj1.png,stim//turtle1.png,Half Right,Full Left,Half Left,Full Right,Horse,Turtle,Shoe,Car,False,2.495,,,,,0,1,1,1,1,0,1,0,11.33187789999647,,,,,,,,,,,,,,11.216571400000248,11.33187789999647,11.33187789999647,11.582384800014552,11.582384800014552,11.566315900010522,11.56634540000232,11.582384800014552,11.999331999977585,11.81648789998144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
turtle,1,stim//obj1.png,stim//turtle1.png,Half Right,Full Left,Half Left,Full Right,Horse,Turtle,Shoe,Car,False,2.495,,,,,0,1,1,1,2,0,2,0,11.999331999977585,,,,,,,,,,,,,,11.816971399995964,11.999331999977585,11.999331999977585,12.249549100000877,12.249549100000877,12.233435900008772,12.233464799996,12.249549100000877,12.532977299997583,12.483701799996197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
turtle,1,stim//obj1.png,stim//turtle1.png,Half Right,Full Left,Half Left,Full Right,Horse,Turtle,Shoe,Car,False,2.495,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.505047200014815,12.532977299997583,12.532977299997583,12.532977299997583,12.532977299997583,12.532977299997583,12.532977299997583,12.532977299997583,12.532977299997583,12.532977299997583,12.532977299997583,12.532977299997583,12.532977299997583,12.532977299997583,12.532977299997583,15.485788699996192,2,1.5860347000416368,None,15.486878000025172,15.487340599996969,15.487352600030135,15.502214699983597,15.502214699983597,15.502214699983597,16.703012700018007,16.703012700018007,18.00415819999762,17.988232799980324,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
car,4,stim//obj2.png,stim//car4.png,Half Right,Full Right,Full Left,Half Left,Turtle,Horse,Car,Shoe,False,2.651,,,,,0,2,2,2,0,0,0,0,19.105295500019565,,,,,,,,,,,17.988728800031822,18.00415819999762,18.988615499984007,18.98947919998318,19.105295500019565,19.105295500019565,19.35543699999107,19.35543699999107,19.33888360002311,19.338906900025904,19.35543699999107,19.70555230003083,19.589718899980653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
car,4,stim//obj2.png,stim//car4.png,Half Right,Full Right,Full Left,Half Left,Turtle,Horse,Car,Shoe,False,2.651,,,,,0,2,2,2,1,0,1,0,19.70555230003083,,,,,,,,,,,,,,19.590057599998545,19.70555230003083,19.70555230003083,19.95594469999196,19.95594469999196,19.939544400025625,19.939557700010482,19.95594469999196,20.37294460000703,20.18975010002032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
car,4,stim//obj2.png,stim//car4.png,Half Right,Full Right,Full Left,Half Left,Turtle,Horse,Car,Shoe,False,2.651,,,,,0,2,2,2,2,0,2,0,20.37294460000703,,,,,,,,,,,,,,20.190210600034334,20.37294460000703,20.37294460000703,20.62274249998154,20.62274249998154,20.607103399990592,20.607133099983912,20.62274249998154,20.924126800033264,20.857377299980726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h44.54.909,pilotv2,2023.2.3,60.149435246420175,2023-11-07 10h45.14.090230 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8866092999815,20.924126800033264,20.924126800033264,20.924126800033264,20.924126800033264,20.924126800033264,20.924126800033264,20.924126800033264,20.924126800033264,20.924126800033264,20.924126800033264,20.924126800033264,20.924126800033264,20.924126800033264,20.924126800033264,23.85947219998343,3,0.7314111000159755,None,23.860750899999402,23.861028900020756,23.86104129999876,23.87587510002777,23.87587510002777,23.87587510002777,25.076933300006203,25.076933300006203,,,,,,,,,,
