category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,codeAcc.started,kb.rt,kb.duration,codeAcc.stopped,ITI.started,fixCrossR.started,text_total.started,text_acc.started,text_total.stopped,text_acc.stopped,fixCrossR.stopped,ITI.stopped,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005263499973807484,0.00567749998299405,0.006059599982108921,0.021211499988567084,0.021211499988567084,1.757329199986998,['5'],[1.7322008999763057],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h46.49.421,pilotv2,2023.2.3,59.92006663630907,2023-11-07 10h47.00.461411 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,Horse,Turtle,Shoe,Car,Half Left,Half Right,Full Left,Full Right,True,2.5,,,,,0,0,0,0,0,0,0,0,2.9734977999469265,,,,,,,,,,,1.7851770999841392,1.8058955999440514,2.773468699946534,2.773997899959795,2.9734977999469265,2.9734977999469265,3.22392989997752,3.22392989997752,3.2077991999685764,3.207811899948865,3.22392989997752,3.5738155999570154,3.4580680999788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h46.49.421,pilotv2,2023.2.3,59.92006663630907,2023-11-07 10h47.00.461411 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,Horse,Turtle,Shoe,Car,Half Left,Half Right,Full Left,Full Right,True,2.5,,,,,0,0,0,0,1,0,1,0,3.5738155999570154,,,,,,,,,,,,,,3.4583203999791294,3.5738155999570154,3.5738155999570154,3.824211699946318,3.824211699946318,3.808042499993462,3.8080661999993026,3.824211699946318,4.241301999951247,4.058509399998002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h46.49.421,pilotv2,2023.2.3,59.92006663630907,2023-11-07 10h47.00.461411 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,Horse,Turtle,Shoe,Car,Half Left,Half Right,Full Left,Full Right,True,2.5,,,,,0,0,0,0,2,0,2,0,4.241301999951247,,,,,,,,,,,,,,4.058754499943461,4.241301999951247,4.241301999951247,4.491639999963809,4.491639999963809,4.475385099998675,4.475399099988863,4.491639999963809,4.808854499948211,4.725741099973675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h46.49.421,pilotv2,2023.2.3,59.92006663630907,2023-11-07 10h47.00.461411 +0100,
horse,1,stim//ori1.png,stim//horse1.png,Shoe,Car,Horse,Turtle,Half Right,Half Left,Full Right,Full Left,True,2.486,,,,,0,1,1,1,0,0,0,0,8.861934999993537,,,,,,,,,,,7.729529699950945,7.744320499943569,8.728609399986453,8.729115800000727,8.861934999993537,8.861934999993537,9.11189329996705,9.11189329996705,9.096271899994463,9.096302499994636,9.11189329996705,9.46232459996827,9.346330199972726,4.756486499973107,4.808854499948211,4.808854499948211,4.808854499948211,4.808854499948211,4.808854499948211,4.808854499948211,4.808854499948211,4.808854499948211,4.808854499948211,4.808854499948211,4.808854499948211,4.808854499948211,4.808854499948211,4.808854499948211,7.727875899989158,None,7.729382599995006,,,,,,,,,,,,,44,3,2023-11-07_10h46.49.421,pilotv2,2023.2.3,59.92006663630907,2023-11-07 10h47.00.461411 +0100,
horse,1,stim//ori1.png,stim//horse1.png,Shoe,Car,Horse,Turtle,Half Right,Half Left,Full Right,Full Left,True,2.486,,,,,0,1,1,1,1,0,1,0,9.46232459996827,,,,,,,,,,,,,,9.34658519999357,9.46232459996827,9.46232459996827,9.71261049999157,9.71261049999157,9.696234599978197,9.696257999981754,9.71261049999157,10.129555399995297,9.946399299951736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h46.49.421,pilotv2,2023.2.3,59.92006663630907,2023-11-07 10h47.00.461411 +0100,
horse,1,stim//ori1.png,stim//horse1.png,Shoe,Car,Horse,Turtle,Half Right,Half Left,Full Right,Full Left,True,2.486,,,,,0,1,1,1,2,0,2,0,10.129555399995297,,,,,,,,,,,,,,9.946823599981144,10.129555399995297,10.129555399995297,10.379681899969,10.379681899969,10.36330469994573,10.363317599985749,10.379681899969,10.663209199963603,10.61398399999598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h46.49.421,pilotv2,2023.2.3,59.92006663630907,2023-11-07 10h47.00.461411 +0100,
horse,1,stim//ori1.png,stim//horse1.png,Shoe,Car,Horse,Turtle,Half Right,Half Left,Full Right,Full Left,True,2.486,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.635058899992146,10.663209199963603,10.663209199963603,10.663209199963603,10.663209199963603,10.663209199963603,10.663209199963603,10.663209199963603,10.663209199963603,10.663209199963603,10.663209199963603,10.663209199963603,10.663209199963603,10.663209199963603,10.663209199963603,13.61607049999293,3,13.617815199948382,2.38588700001128,None,13.618123599968385,13.61813599994639,13.632572799979243,13.632572799979243,13.632572799979243,14.833340399956796,14.833340399956796,16.117539099999703,16.10165489994688,,44,3,2023-11-07_10h46.49.421,pilotv2,2023.2.3,59.92006663630907,2023-11-07 10h47.00.461411 +0100,
horse,4,stim//ori2.png,stim//horse4.png,Half Left,Full Left,Half Right,Full Right,Shoe,Turtle,Horse,Car,False,2.501,,,,,0,2,2,2,0,0,0,0,17.23557569994591,,,,,,,,,,,16.101903499977197,16.117539099999703,17.10219700000016,17.10270719998516,17.23557569994591,17.23557569994591,17.485777999972925,17.485777999972925,17.469654999964405,17.46967889997177,17.485777999972925,17.83566299994709,17.719558499986306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h46.49.421,pilotv2,2023.2.3,59.92006663630907,2023-11-07 10h47.00.461411 +0100,
horse,4,stim//ori2.png,stim//horse4.png,Half Left,Full Left,Half Right,Full Right,Shoe,Turtle,Horse,Car,False,2.501,,,,,0,2,2,2,1,0,1,0,17.83566299994709,,,,,,,,,,,,,,17.719983199960552,17.83566299994709,17.83566299994709,18.086221399949864,18.086221399949864,18.070433099986985,18.070462999981828,18.086221399949864,18.50346569996327,18.32025099999737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h46.49.421,pilotv2,2023.2.3,59.92006663630907,2023-11-07 10h47.00.461411 +0100,
