category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,codeAcc.started,codeAcc.stopped,ITI.started,fixCrossR.started,text_total.started,text_acc.started,text_total.stopped,text_acc.stopped,fixCrossR.stopped,ITI.stopped,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014510200009681284,0.015052300004754215,0.015419900009874254,0.030943999998271465,0.030943999998271465,34.92811639996944,['5'],[34.89598999998998],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h52.53.226,pilotv2,2023.2.3,59.778365741568614,2023-11-07 10h54.16.272532 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,Horse,Turtle,Shoe,Car,Half Left,Half Right,Full Left,Full Right,True,2.5,,,,,0,0,0,0,0,0,0,0,36.14431549998699,,,,,,,,,,,34.95870979997562,34.97660499997437,35.94436720001977,35.94492999999784,36.14431549998699,36.14431549998699,36.394247699994594,36.394247699994594,36.378514699987136,36.37852929998189,36.394247699994594,36.744757600012235,36.62866420001956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h52.53.226,pilotv2,2023.2.3,59.778365741568614,2023-11-07 10h54.16.272532 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,Horse,Turtle,Shoe,Car,Half Left,Half Right,Full Left,Full Right,True,2.5,,,,,0,0,0,0,1,0,1,0,36.744757600012235,,,,,,,,,,,,,,36.62896579998778,36.744757600012235,36.744757600012235,36.99510569998529,36.99510569998529,36.97913709998829,36.97915019997163,36.99510569998529,37.41214129998116,37.22925450000912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h52.53.226,pilotv2,2023.2.3,59.778365741568614,2023-11-07 10h54.16.272532 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,Horse,Turtle,Shoe,Car,Half Left,Half Right,Full Left,Full Right,True,2.5,,,,,0,0,0,0,2,0,2,0,37.41214129998116,,,,,,,,,,,,,,37.22967089997837,37.41214129998116,37.41214129998116,37.66241990000708,37.66241990000708,37.646491100022104,37.646521000016946,37.66241990000708,37.963730500021484,37.89679829997476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h52.53.226,pilotv2,2023.2.3,59.778365741568614,2023-11-07 10h54.16.272532 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,Horse,Turtle,Shoe,Car,Half Left,Half Right,Full Left,Full Right,True,2.5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.91503009997541,37.963730500021484,37.963730500021484,37.963730500021484,37.963730500021484,37.963730500021484,37.963730500021484,37.963730500021484,37.963730500021484,37.963730500021484,37.963730500021484,37.963730500021484,37.963730500021484,37.963730500021484,37.963730500021484,40.89848939998774,4,1.3798474000068381,None,40.89979960001074,40.9000653999974,40.90007719997084,40.91504579997854,40.91504579997854,40.91504579997854,42.11593670002185,42.11593670002185,43.41710219997913,43.40119339997182,,44,3,2023-11-07_10h52.53.226,pilotv2,2023.2.3,59.778365741568614,2023-11-07 10h54.16.272532 +0100,
horse,1,stim//ori1.png,stim//horse1.png,Shoe,Car,Horse,Turtle,Half Right,Half Left,Full Right,Full Left,True,2.486,,,,,0,1,1,1,0,0,0,0,44.517866100009996,,,,,,,,,,,43.40173919999506,43.41710219997913,44.40154579997761,44.40246949996799,44.517866100009996,44.517866100009996,44.76825630001258,44.76825630001258,44.75215269997716,44.75218369998038,44.76825630001258,45.11835920001613,45.00257860001875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h52.53.226,pilotv2,2023.2.3,59.778365741568614,2023-11-07 10h54.16.272532 +0100,
horse,1,stim//ori1.png,stim//horse1.png,Shoe,Car,Horse,Turtle,Half Right,Half Left,Full Right,Full Left,True,2.486,,,,,0,1,1,1,1,0,1,0,45.11835920001613,,,,,,,,,,,,,,45.002963899984024,45.11835920001613,45.11835920001613,45.36872359999688,45.36872359999688,45.35268810001435,45.352717700006906,45.36872359999688,45.78559049998876,45.602937899995595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h52.53.226,pilotv2,2023.2.3,59.778365741568614,2023-11-07 10h54.16.272532 +0100,
horse,1,stim//ori1.png,stim//horse1.png,Shoe,Car,Horse,Turtle,Half Right,Half Left,Full Right,Full Left,True,2.486,,,,,0,1,1,1,2,0,2,0,45.78559049998876,,,,,,,,,,,,,,45.60321699996712,45.78559049998876,45.78559049998876,46.036038899968844,46.036038899968844,46.01981949998299,46.01983259996632,46.036038899968844,46.31982809997862,46.27009279996855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h52.53.226,pilotv2,2023.2.3,59.778365741568614,2023-11-07 10h54.16.272532 +0100,
horse,4,stim//ori2.png,stim//horse4.png,Half Left,Full Left,Half Right,Full Right,Shoe,Turtle,Horse,Car,False,2.501,,,,,0,2,2,2,0,0,0,0,50.389802300021984,,,,,,,,,,,49.27323809999507,49.28872880002018,50.27290759998141,50.273933199991006,50.389802300021984,50.389802300021984,50.6395429999684,50.6395429999684,50.62371189997066,50.623725400015246,50.6395429999684,50.989892499987036,50.87377409997862,46.29051750001963,46.31982809997862,46.31982809997862,46.31982809997862,46.31982809997862,46.31982809997862,46.31982809997862,46.31982809997862,46.31982809997862,46.31982809997862,46.31982809997862,46.31982809997862,46.31982809997862,46.31982809997862,46.31982809997862,49.27219829999376,None,,,49.27309739997145,,,,,,,,,,,44,3,2023-11-07_10h52.53.226,pilotv2,2023.2.3,59.778365741568614,2023-11-07 10h54.16.272532 +0100,
horse,4,stim//ori2.png,stim//horse4.png,Half Left,Full Left,Half Right,Full Right,Shoe,Turtle,Horse,Car,False,2.501,,,,,0,2,2,2,1,0,1,0,50.989892499987036,,,,,,,,,,,,,,50.8741712999763,50.989892499987036,50.989892499987036,51.24019490001956,51.24019490001956,51.224178200005554,51.22419139998965,51.24019490001956,51.65698680002242,51.47420779999811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,3,2023-11-07_10h52.53.226,pilotv2,2023.2.3,59.778365741568614,2023-11-07 10h54.16.272532 +0100,
