category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,codeAcc.started,codeAcc.stopped,ITI.started,fixCrossR.started,text_total.started,text_acc.started,text_total.stopped,text_acc.stopped,fixCrossR.stopped,ITI.stopped,cue.stopped,tybb.started,text_17.started,key_resp_13.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01737349998438731,0.017706400016322732,0.01808720000553876,0.032861099985893816,0.032861099985893816,5.471923400007654,['5'],[5.43233689997578],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,2023-11-07_11h09.39.777,pilotv2,2023.2.3,60.18813608595366,2023-11-07 11h10.03.394798 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Turtle,Shoe,Car,Horse,Full Left,Half Left,Half Right,Full Right,True,2.54,,,,,0,0,0,0,0,0,0,0,6.705351600016002,,,,,,,,,,,5.494589300011285,5.503983200003859,6.488371899991762,6.489140600024257,6.705351600016002,6.705351600016002,6.955272499995772,6.955272499995772,6.940003200026695,6.940018200024497,6.955272499995772,7.322890300012659,7.18954410002334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,2023-11-07_11h09.39.777,pilotv2,2023.2.3,60.18813608595366,2023-11-07 11h10.03.394798 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Turtle,Shoe,Car,Horse,Full Left,Half Left,Half Right,Full Right,True,2.54,,,,,0,0,0,0,1,0,1,0,7.322890300012659,,,,,,,,,,,,,,7.189796500024386,7.322890300012659,7.322890300012659,7.572588100039866,7.572588100039866,7.556358400033787,7.556382000038866,7.572588100039866,7.989531900035217,7.806669600016903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,2023-11-07_11h09.39.777,pilotv2,2023.2.3,60.18813608595366,2023-11-07 11h10.03.394798 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Turtle,Shoe,Car,Horse,Full Left,Half Left,Half Right,Full Right,True,2.54,,,,,0,0,0,0,2,0,2,0,7.989531900035217,,,,,,,,,,,,,,7.807089800015092,7.989531900035217,7.989531900035217,8.239565199997742,8.239565199997742,8.22375160001684,8.223775500024203,8.239565199997742,8.556922400020994,8.473882500024047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,2023-11-07_11h09.39.777,pilotv2,2023.2.3,60.18813608595366,2023-11-07 11h10.03.394798 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Turtle,Shoe,Car,Horse,Full Left,Half Left,Half Right,Full Right,True,2.54,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.494148000027053,8.556922400020994,8.556922400020994,8.556922400020994,8.556922400020994,8.556922400020994,8.556922400020994,8.556922400020994,8.556922400020994,8.556922400020994,8.556922400020994,8.556922400020994,8.556922400020994,8.556922400020994,8.556922400020994,11.475702900032047,1,1.5640966999926604,None,11.4775158999837,11.47784569999203,11.477858300029766,11.492166300013196,11.492166300013196,11.492166300013196,12.693404800025746,12.693404800025746,14.044699900026899,14.02829520002706,,,,,44,5,2023-11-07_11h09.39.777,pilotv2,2023.2.3,60.18813608595366,2023-11-07 11h10.03.394798 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Turtle,Car,Shoe,Horse,Full Left,Half Left,Half Right,Full Right,True,2.578,,,,,0,1,1,1,0,0,0,0,15.162009400024544,,,,,,,,,,,14.02854660002049,14.044699900026899,15.029123999993317,15.029689399991184,15.162009400024544,15.162009400024544,15.412578099989332,15.412578099989332,15.396967699984089,15.396981600031722,15.412578099989332,15.765079400036484,15.646547899988946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,2023-11-07_11h09.39.777,pilotv2,2023.2.3,60.18813608595366,2023-11-07 11h10.03.394798 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Turtle,Car,Shoe,Horse,Full Left,Half Left,Half Right,Full Right,True,2.578,,,,,0,1,1,1,1,0,1,0,15.765079400036484,,,,,,,,,,,,,,15.646970100002363,15.765079400036484,15.765079400036484,16.012952400022186,16.012952400022186,15.99696070002392,15.9969918000279,16.012952400022186,16.44666940002935,16.2471566000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,2023-11-07_11h09.39.777,pilotv2,2023.2.3,60.18813608595366,2023-11-07 11h10.03.394798 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Turtle,Car,Shoe,Horse,Full Left,Half Left,Half Right,Full Right,True,2.578,,,,,0,1,1,1,2,0,2,0,16.44666940002935,,,,,,,,,,,,,,16.24740400002338,16.44666940002935,16.44666940002935,16.696898000023793,16.696898000023793,16.68086190003669,16.68087550002383,16.696898000023793,16.980282600037754,16.932101399987005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,2023-11-07_11h09.39.777,pilotv2,2023.2.3,60.18813608595366,2023-11-07 11h10.03.394798 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Turtle,Car,Shoe,Horse,Full Left,Half Left,Half Right,Full Right,True,2.578,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.963593300024513,16.980282600037754,16.980282600037754,16.980282600037754,16.980282600037754,16.980282600037754,16.980282600037754,16.980282600037754,16.980282600037754,16.980282600037754,16.980282600037754,16.980282600037754,16.980282600037754,16.980282600037754,16.980282600037754,19.933159700012766,4,1.1169943999848329,None,19.93438769999193,19.93469730002107,19.93470939999679,19.949628700036556,19.949628700036556,19.949628700036556,21.150688900030218,21.150688900030218,22.535013900022022,22.51962380000623,,,,,44,5,2023-11-07_11h09.39.777,pilotv2,2023.2.3,60.18813608595366,2023-11-07 11h10.03.394798 +0100,
car,3,stim//obj2.png,stim//car3.png,Shoe,Horse,Car,Turtle,Half Right,Half Left,Full Left,Full Right,True,2.427,,,,,0,2,2,2,0,0,0,0,23.636296799988486,,,,,,,,,,,22.519874899997376,22.535013900022022,23.519713799993042,23.5202042000019,23.636296799988486,23.636296799988486,23.88742550002644,23.88742550002644,23.873132000037003,23.873145400022622,23.88742550002644,24.25313179998193,24.121672999986913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.636296799988486,,,,44,5,2023-11-07_11h09.39.777,pilotv2,2023.2.3,60.18813608595366,2023-11-07 11h10.03.394798 +0100,
