thisRow.t,notes,welcome.started,welcometext.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instructions.started,instr_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,key_resp_3.started,text_2.started,image_2.started,instr2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,symb1.started,key_resp_4.started,image_3.started,image_4.started,image_5.started,image_6.started,image_22.started,image_23.started,text_3.started,symb1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,symb2.started,image_7.started,image_8.started,image_9.started,image_10.started,image_11.started,image_12.started,text_4.started,key_resp_6.started,symb2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,memor.started,key_resp_7.started,text_5.started,image_13.started,image_14.started,image_15.started,image_16.started,text_6.started,text_7.started,memor.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,gratz.started,text_12.started,key_resp_8.started,gratz.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,respo1.started,key_resp_9.started,text_13.started,image_25.started,respo1.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,respo2.started,key_resp_10.started,text_14.started,image_24.started,respo2.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,respo3.started,key_resp_11.started,text_15.started,image_21.started,respo3.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.031813499983400106,0.04841909999959171,0.04841909999959171,0.8678939999954309,space,0.8180530999961775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,4,2023-11-06_17h50.12.346,pilotv1,2023.2.3,60.50316855419774,2023-11-06 17h52.42.149437 +0100,
,,,,,,,,,0.8679397999949288,0.8816516999795567,0.8816516999795567,1.6490793999982998,space,0.7631526000041049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,4,2023-11-06_17h50.12.346,pilotv1,2023.2.3,60.50316855419774,2023-11-06 17h52.42.149437 +0100,
,,,,,,,,,,,,,,,,1.6491013999911956,1.7482271999760997,1.7482271999760997,1.7482271999760997,5.599645699985558,space,3.84836639999412,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,4,2023-11-06_17h50.12.346,pilotv1,2023.2.3,60.50316855419774,2023-11-06 17h52.42.149437 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,5.599701999977697,5.764892499981215,5.764892499981215,5.764892499981215,5.764892499981215,5.764892499981215,5.764892499981215,5.764892499981215,5.764892499981215,6.9997122999920975,space,1.2317723000014666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,4,2023-11-06_17h50.12.346,pilotv1,2023.2.3,60.50316855419774,2023-11-06 17h52.42.149437 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.999757299985504,7.181449600000633,7.181449600000633,7.181449600000633,7.181449600000633,7.181449600000633,7.181449600000633,7.181449600000633,7.181449600000633,7.7658489999885205,space,0.5707579999871086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,4,2023-11-06_17h50.12.346,pilotv1,2023.2.3,60.50316855419774,2023-11-06 17h52.42.149437 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.765879899990978,7.7817526999861,7.7817526999861,7.7817526999861,7.7817526999861,7.7817526999861,7.7817526999861,7.7817526999861,7.7817526999861,8.34950129999197,space,0.5650870999961626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,4,2023-11-06_17h50.12.346,pilotv1,2023.2.3,60.50316855419774,2023-11-06 17h52.42.149437 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.349549399979878,8.364851599995745,8.364851599995745,8.364851599995745,8.364851599995745,10.885077899991302,0,,,1,[2.5341588000010233],[2.5341679000121076],10.885174899973208,10.897988699987764,10.897988699987764,10.897988699987764,10.897988699987764,11.70098229998257,1,[0.813901600020472],[0.813906199997291],0,,,11.701059199986048,11.714866800000891,11.714866800000891,11.714866800000891,11.714866800000891,12.265803099988261,0,,,1,[0.5628488000074867],[0.5628529000096023],12.26586590000079,12.281564399978379,12.281564399978379,12.281564399978379,12.281564399978379,12.799073199974373,1,[0.5316442000039387],[0.5316482000052929],0,,,12.799140799994348,12.814752399979625,12.814752399979625,13.36545689997729,space,0.5340711000026204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,4,2023-11-06_17h50.12.346,pilotv1,2023.2.3,60.50316855419774,2023-11-06 17h52.42.149437 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.36548359997687,13.381346899986966,13.381346899986966,13.381346899986966,13.99888749999809,space,0.6132367000100203,None,,,,,,,,,,,,,,,,,,,,,,,,61,4,2023-11-06_17h50.12.346,pilotv1,2023.2.3,60.50316855419774,2023-11-06 17h52.42.149437 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.998914799973136,14.014895200001774,14.014895200001774,14.014895200001774,14.382224799977848,space,0.3608724999940023,None,,,,,,,,,,,,,,,,61,4,2023-11-06_17h50.12.346,pilotv1,2023.2.3,60.50316855419774,2023-11-06 17h52.42.149437 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.38225229998352,14.397992699989118,14.397992699989118,14.397992699989118,15.032265399990138,space,0.6185565000050701,None,,,,,,,,61,4,2023-11-06_17h50.12.346,pilotv1,2023.2.3,60.50316855419774,2023-11-06 17h52.42.149437 +0100,
