3.6475 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
10.3880 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
11.7150 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000213045D3C70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000213045D3C10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000213045D3A30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002130AB45A90>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.7152 	EXP 	window1: mouseVisible = True
11.7153 	EXP 	window1: backgroundImage = ''
11.7153 	EXP 	window1: backgroundFit = 'none'
11.7183 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.7183 	EXP 	window1: recordFrameIntervals = False
11.8799 	EXP 	window1: recordFrameIntervals = True
12.0642 	EXP 	Screen (0) actual frame rate measured at 60.03Hz
12.0643 	EXP 	window1: recordFrameIntervals = False
12.0645 	EXP 	window1: mouseVisible = False
15.9483 	EXP 	pilotv2: status = STARTED
15.9487 	EXP 	window1: mouseVisible = True
15.9686 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
15.9690 	EXP 	window1: mouseVisible = True
15.9692 	EXP 	window1: mouseVisible = True
15.9699 	EXP 	window1: mouseVisible = True
15.9706 	EXP 	window1: mouseVisible = True
16.0049 	EXP 	window1: mouseVisible = True
16.0051 	EXP 	window1: mouseVisible = True
16.0058 	EXP 	window1: mouseVisible = True
16.0065 	EXP 	window1: mouseVisible = True
16.0352 	EXP 	window1: mouseVisible = True
16.0355 	EXP 	window1: mouseVisible = True
16.0357 	EXP 	window1: mouseVisible = True
16.0364 	EXP 	window1: mouseVisible = True
16.0371 	EXP 	window1: mouseVisible = True
16.0643 	EXP 	window1: mouseVisible = True
16.0645 	EXP 	window1: mouseVisible = True
16.0651 	EXP 	window1: mouseVisible = True
16.0658 	EXP 	window1: mouseVisible = True
16.0710 	EXP 	window1: mouseVisible = True
16.0713 	EXP 	window1: mouseVisible = True
16.4521 	EXP 	Created text_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_8', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
16.4525 	EXP 	window1: mouseVisible = True
16.4527 	EXP 	window1: mouseVisible = True
16.4534 	EXP 	window1: mouseVisible = True
16.4540 	EXP 	window1: mouseVisible = True
16.4912 	EXP 	window1: mouseVisible = True
16.4914 	EXP 	window1: mouseVisible = True
16.4921 	EXP 	window1: mouseVisible = True
16.4928 	EXP 	window1: mouseVisible = True
16.5084 	EXP 	window1: mouseVisible = True
16.5087 	EXP 	window1: mouseVisible = True
16.5089 	EXP 	window1: mouseVisible = True
16.5096 	EXP 	window1: mouseVisible = True
16.5102 	EXP 	window1: mouseVisible = True
16.5232 	EXP 	window1: mouseVisible = True
16.5234 	EXP 	window1: mouseVisible = True
16.5241 	EXP 	window1: mouseVisible = True
16.5248 	EXP 	window1: mouseVisible = True
16.5299 	EXP 	window1: mouseVisible = True
16.5300 	EXP 	window1: mouseVisible = True
16.5364 	EXP 	Created image_17 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori1.png', interpolate=True, mask=None, maskParams=None, name='image_17', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
16.5365 	EXP 	window1: mouseVisible = True
16.5438 	EXP 	Created text_9 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_9', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
16.5442 	EXP 	window1: mouseVisible = True
16.5443 	EXP 	window1: mouseVisible = True
16.5450 	EXP 	window1: mouseVisible = True
16.5457 	EXP 	window1: mouseVisible = True
16.5517 	EXP 	window1: mouseVisible = True
16.5519 	EXP 	window1: mouseVisible = True
16.5525 	EXP 	window1: mouseVisible = True
16.5532 	EXP 	window1: mouseVisible = True
16.5584 	EXP 	window1: mouseVisible = True
16.5587 	EXP 	window1: mouseVisible = True
16.5589 	EXP 	window1: mouseVisible = True
16.5596 	EXP 	window1: mouseVisible = True
16.5602 	EXP 	window1: mouseVisible = True
16.5662 	EXP 	window1: mouseVisible = True
16.5664 	EXP 	window1: mouseVisible = True
16.5671 	EXP 	window1: mouseVisible = True
16.5677 	EXP 	window1: mouseVisible = True
16.5728 	EXP 	window1: mouseVisible = True
16.5729 	EXP 	window1: mouseVisible = True
16.5795 	EXP 	Created image_18 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/obj2.png', interpolate=True, mask=None, maskParams=None, name='image_18', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
16.5797 	EXP 	window1: mouseVisible = True
16.5872 	EXP 	Created text_10 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_10', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
16.5875 	EXP 	window1: mouseVisible = True
16.5877 	EXP 	window1: mouseVisible = True
16.5883 	EXP 	window1: mouseVisible = True
16.5890 	EXP 	window1: mouseVisible = True
16.5951 	EXP 	window1: mouseVisible = True
16.5953 	EXP 	window1: mouseVisible = True
16.5963 	EXP 	window1: mouseVisible = True
16.5997 	EXP 	window1: mouseVisible = True
16.6067 	EXP 	window1: mouseVisible = True
16.6071 	EXP 	window1: mouseVisible = True
16.6074 	EXP 	window1: mouseVisible = True
16.6093 	EXP 	window1: mouseVisible = True
16.6119 	EXP 	window1: mouseVisible = True
16.6223 	EXP 	window1: mouseVisible = True
16.6235 	EXP 	window1: mouseVisible = True
16.6248 	EXP 	window1: mouseVisible = True
16.6265 	EXP 	window1: mouseVisible = True
16.6349 	EXP 	window1: mouseVisible = True
16.6357 	EXP 	window1: mouseVisible = True
16.6460 	EXP 	Created image_19 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori2.png', interpolate=True, mask=None, maskParams=None, name='image_19', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
16.6462 	EXP 	window1: mouseVisible = True
16.6573 	EXP 	Created text_11 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_11', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
16.6576 	EXP 	window1: mouseVisible = True
16.6578 	EXP 	window1: mouseVisible = True
16.6587 	EXP 	window1: mouseVisible = True
16.6601 	EXP 	window1: mouseVisible = True
16.6666 	EXP 	window1: mouseVisible = True
16.6668 	EXP 	window1: mouseVisible = True
16.6674 	EXP 	window1: mouseVisible = True
16.6681 	EXP 	window1: mouseVisible = True
16.6733 	EXP 	window1: mouseVisible = True
16.6736 	EXP 	window1: mouseVisible = True
16.6738 	EXP 	window1: mouseVisible = True
16.6745 	EXP 	window1: mouseVisible = True
16.6753 	EXP 	window1: mouseVisible = True
16.6813 	EXP 	window1: mouseVisible = True
16.6814 	EXP 	window1: mouseVisible = True
16.6821 	EXP 	window1: mouseVisible = True
16.6828 	EXP 	window1: mouseVisible = True
16.6879 	EXP 	window1: mouseVisible = True
16.6880 	EXP 	window1: mouseVisible = True
16.6948 	EXP 	Created image_20 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/obj1.png', interpolate=True, mask=None, maskParams=None, name='image_20', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
16.6949 	EXP 	window1: mouseVisible = True
16.7088 	EXP 	Created imageInstruct_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
16.7091 	EXP 	window1: mouseVisible = True
16.7093 	EXP 	window1: mouseVisible = True
16.7100 	EXP 	window1: mouseVisible = True
16.7107 	EXP 	window1: mouseVisible = True
16.7168 	EXP 	window1: mouseVisible = True
16.7169 	EXP 	window1: mouseVisible = True
16.7176 	EXP 	window1: mouseVisible = True
16.7183 	EXP 	window1: mouseVisible = True
16.7237 	EXP 	window1: mouseVisible = True
16.7240 	EXP 	window1: mouseVisible = True
16.7242 	EXP 	window1: mouseVisible = True
16.7248 	EXP 	window1: mouseVisible = True
16.7255 	EXP 	window1: mouseVisible = True
16.7312 	EXP 	window1: mouseVisible = True
16.7314 	EXP 	window1: mouseVisible = True
16.7321 	EXP 	window1: mouseVisible = True
16.7328 	EXP 	window1: mouseVisible = True
16.7381 	EXP 	window1: mouseVisible = True
16.7382 	EXP 	window1: mouseVisible = True
16.7540 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='The experiment will begin soon. Get ready!', units='height', win=Window(...), wrapWidth=1)
16.7542 	EXP 	window1: mouseVisible = True
16.7687 	EXP 	Created cue = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='cue', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
16.7689 	EXP 	window1: mouseVisible = True
16.7825 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
16.7827 	EXP 	window1: mouseVisible = True
16.7866 	EXP 	Created fixCrossR_2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='fixCrossR_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.02, 0.02]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
16.7867 	EXP 	window1: mouseVisible = True
