2.6842 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
9.9451 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
10.8036 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000249275F0EB0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000249275F0E50>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000249275F0C70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000024932E44E80>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.8037 	EXP 	window1: mouseVisible = True
10.8037 	EXP 	window1: backgroundImage = ''
10.8037 	EXP 	window1: backgroundFit = 'none'
10.8058 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.8058 	EXP 	window1: recordFrameIntervals = False
10.9685 	EXP 	window1: recordFrameIntervals = True
11.1520 	EXP 	Screen (0) actual frame rate measured at 60.06Hz
11.1521 	EXP 	window1: recordFrameIntervals = False
11.1522 	EXP 	window1: mouseVisible = False
13.4168 	EXP 	pilotv2: status = STARTED
13.4172 	EXP 	window1: mouseVisible = True
13.4344 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
13.4346 	EXP 	window1: mouseVisible = True
13.4348 	EXP 	window1: mouseVisible = True
13.4352 	EXP 	window1: mouseVisible = True
13.4356 	EXP 	window1: mouseVisible = True
13.4505 	EXP 	window1: mouseVisible = True
13.4506 	EXP 	window1: mouseVisible = True
13.4510 	EXP 	window1: mouseVisible = True
13.4514 	EXP 	window1: mouseVisible = True
13.4628 	EXP 	window1: mouseVisible = True
13.4630 	EXP 	window1: mouseVisible = True
13.4631 	EXP 	window1: mouseVisible = True
13.4635 	EXP 	window1: mouseVisible = True
13.4639 	EXP 	window1: mouseVisible = True
13.4748 	EXP 	window1: mouseVisible = True
13.4749 	EXP 	window1: mouseVisible = True
13.4753 	EXP 	window1: mouseVisible = True
13.4757 	EXP 	window1: mouseVisible = True
13.4791 	EXP 	window1: mouseVisible = True
13.4792 	EXP 	window1: mouseVisible = True
13.5721 	EXP 	Created text_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_8', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
13.5723 	EXP 	window1: mouseVisible = True
13.5724 	EXP 	window1: mouseVisible = True
13.5729 	EXP 	window1: mouseVisible = True
13.5733 	EXP 	window1: mouseVisible = True
13.5977 	EXP 	window1: mouseVisible = True
13.5978 	EXP 	window1: mouseVisible = True
13.5982 	EXP 	window1: mouseVisible = True
13.5986 	EXP 	window1: mouseVisible = True
13.6089 	EXP 	window1: mouseVisible = True
13.6091 	EXP 	window1: mouseVisible = True
13.6092 	EXP 	window1: mouseVisible = True
13.6096 	EXP 	window1: mouseVisible = True
13.6100 	EXP 	window1: mouseVisible = True
13.6185 	EXP 	window1: mouseVisible = True
13.6186 	EXP 	window1: mouseVisible = True
13.6190 	EXP 	window1: mouseVisible = True
13.6195 	EXP 	window1: mouseVisible = True
13.6229 	EXP 	window1: mouseVisible = True
13.6230 	EXP 	window1: mouseVisible = True
13.6272 	EXP 	Created image_17 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori1.png', interpolate=True, mask=None, maskParams=None, name='image_17', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
13.6274 	EXP 	window1: mouseVisible = True
13.6321 	EXP 	Created text_9 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_9', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
13.6323 	EXP 	window1: mouseVisible = True
13.6325 	EXP 	window1: mouseVisible = True
13.6329 	EXP 	window1: mouseVisible = True
13.6333 	EXP 	window1: mouseVisible = True
13.6371 	EXP 	window1: mouseVisible = True
13.6372 	EXP 	window1: mouseVisible = True
13.6376 	EXP 	window1: mouseVisible = True
13.6380 	EXP 	window1: mouseVisible = True
13.6415 	EXP 	window1: mouseVisible = True
13.6417 	EXP 	window1: mouseVisible = True
13.6418 	EXP 	window1: mouseVisible = True
13.6422 	EXP 	window1: mouseVisible = True
13.6426 	EXP 	window1: mouseVisible = True
13.6465 	EXP 	window1: mouseVisible = True
13.6466 	EXP 	window1: mouseVisible = True
13.6470 	EXP 	window1: mouseVisible = True
13.6474 	EXP 	window1: mouseVisible = True
13.6507 	EXP 	window1: mouseVisible = True
13.6508 	EXP 	window1: mouseVisible = True
13.6553 	EXP 	Created image_18 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/obj2.png', interpolate=True, mask=None, maskParams=None, name='image_18', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
13.6555 	EXP 	window1: mouseVisible = True
