Instructions2Filepath,n,buttonBack_2.numClicks_mean,buttonBack_2.numClicks_raw,buttonBack_2.numClicks_std,buttonBack_2.timesOff_raw,buttonBack_2.timesOn_raw,buttonNext_2.numClicks_mean,buttonNext_2.numClicks_raw,buttonNext_2.numClicks_std,buttonNext_2.timesOff_raw,buttonNext_2.timesOn_raw,order
instructions//slide7.png,1.0,0.0,0.0,0.0,'','',1.0,1.0,0.0,0.8252344000211451,0.8252299000159837,0.0

extraInfo
participant,69
session,0
date,2023-11-06_23h29.14.955
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92046158750204
expStart,2023-11-06 23h29.23.585083 +0100
﻿Instructions2Filepath,n,buttonBack_2.numClicks_mean,buttonBack_2.numClicks_raw,buttonBack_2.numClicks_std,buttonBack_2.timesOff_raw,buttonBack_2.timesOn_raw,buttonNext_2.numClicks_mean,buttonNext_2.numClicks_raw,buttonNext_2.numClicks_std,buttonNext_2.timesOff_raw,buttonNext_2.timesOn_raw,order
instructions//slide8.png,1.0,0.0,0.0,0.0,'','',1.0,1.0,0.0,0.55607739998959,0.5560730999859516,0.0

extraInfo
participant,69
session,0
date,2023-11-06_23h29.14.955
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92046158750204
expStart,2023-11-06 23h29.23.585083 +0100
﻿Instructions2Filepath,n,buttonBack_2.numClicks_mean,buttonBack_2.numClicks_raw,buttonBack_2.numClicks_std,buttonBack_2.timesOff_raw,buttonBack_2.timesOn_raw,buttonNext_2.numClicks_mean,buttonNext_2.numClicks_raw,buttonNext_2.numClicks_std,buttonNext_2.timesOff_raw,buttonNext_2.timesOn_raw,order
instructions//slide9.png,1.0,0.0,0.0,0.0,'','',1.0,1.0,0.0,0.4457251999992877,0.4457201999903191,0.0

extraInfo
participant,69
session,0
date,2023-11-06_23h29.14.955
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92046158750204
expStart,2023-11-06 23h29.23.585083 +0100
﻿Instructions2Filepath,n,buttonBack_2.numClicks_mean,buttonBack_2.numClicks_raw,buttonBack_2.numClicks_std,buttonBack_2.timesOff_raw,buttonBack_2.timesOn_raw,buttonNext_2.numClicks_mean,buttonNext_2.numClicks_raw,buttonNext_2.numClicks_std,buttonNext_2.timesOff_raw,buttonNext_2.timesOn_raw,order
instructions//slide10.png,1.0,0.0,0.0,0.0,'','',1.0,1.0,0.0,0.6257736000115983,0.6257629999890924,0.0

extraInfo
participant,69
session,0
date,2023-11-06_23h29.14.955
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92046158750204
expStart,2023-11-06 23h29.23.585083 +0100
﻿Instructions2Filepath,n,buttonBack_2.numClicks_mean,buttonBack_2.numClicks_raw,buttonBack_2.numClicks_std,buttonBack_2.timesOff_raw,buttonBack_2.timesOn_raw,buttonNext_2.numClicks_mean,buttonNext_2.numClicks_raw,buttonNext_2.numClicks_std,buttonNext_2.timesOff_raw,buttonNext_2.timesOn_raw,order
instructions//slide11.png,1.0,0.0,0.0,0.0,'','',1.0,1.0,0.0,0.5550243000034243,0.5550152000214439,0.0

extraInfo
participant,69
session,0
date,2023-11-06_23h29.14.955
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92046158750204
expStart,2023-11-06 23h29.23.585083 +0100
﻿Instructions2Filepath,n,buttonBack_2.numClicks_mean,buttonBack_2.numClicks_raw,buttonBack_2.numClicks_std,buttonBack_2.timesOff_raw,buttonBack_2.timesOn_raw,buttonNext_2.numClicks_mean,buttonNext_2.numClicks_raw,buttonNext_2.numClicks_std,buttonNext_2.timesOff_raw,buttonNext_2.timesOn_raw,order
instructions//slide12.png,1.0,0.0,0.0,0.0,'','',1.0,1.0,0.0,1.9572328999929596,1.9572234000079334,0.0

extraInfo
participant,69
session,0
date,2023-11-06_23h29.14.955
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92046158750204
expStart,2023-11-06 23h29.23.585083 +0100
