category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,correctButton,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,babyEnter.thisRepN,babyEnter.thisTrialN,babyEnter.thisN,babyEnter.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,fixCrossR_6.started,cue.stopped,fixCrossR_6.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,codeAcc.started,codeAcc.stopped,ITI.started,fixCrossR.started,fixCrossR.stopped,ITI.stopped,tybb.started,key_resp_13.started,fixCrossR_5.started,tybb.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002515899992431514,0.0027751000015996397,0.010011199992732145,0.013063999998848885,0.013063999998848885,4.968847600001027,['5'],[4.951572699996177],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
turtle,2,stim//ori2.png,stim//turtle2.png,Car,Shoe,Horse,Turtle,Full Left,Half Right,Half Left,Full Right,True,3,2.497,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6.266294699991704,,,,,,,,,,,5.019689299995662,5.025066200003494,5.025066200003494,6.266294699991704,6.266294699991704,6.001296699992963,6.002529299992602,6.266294699991704,6.266294699991704,6.499950800003717,6.499950800003717,6.484257599993725,6.484293499990599,6.499950800003717,6.851811799991992,6.73464929999318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
turtle,2,stim//ori2.png,stim//turtle2.png,Car,Shoe,Horse,Turtle,Full Left,Half Right,Half Left,Full Right,True,3,2.497,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,6.851811799991992,,,,,,,,,,,,,,,,,6.735334500001045,6.851811799991992,6.851811799991992,7.09973469999386,7.09973469999386,7.0836065000039525,7.083624799997779,7.09973469999386,7.44825449999189,7.334242099997937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
turtle,2,stim//ori2.png,stim//turtle2.png,Car,Shoe,Horse,Turtle,Full Left,Half Right,Half Left,Full Right,True,3,2.497,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,7.44825449999189,,,,,,,,,,,,,,,,,7.334819099996821,7.44825449999189,7.44825449999189,7.683127099997364,7.683127099997364,7.6672208999953,7.667253299994627,7.683127099997364,7.975569000001997,7.916165499991621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
turtle,2,stim//ori2.png,stim//turtle2.png,Car,Shoe,Horse,Turtle,Full Left,Half Right,Half Left,Full Right,True,3,2.497,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.93257389999053,7.975569000001997,7.975569000001997,7.975569000001997,7.975569000001997,7.975569000001997,7.975569000001997,7.975569000001997,7.975569000001997,7.975569000001997,7.975569000001997,7.975569000001997,7.975569000001997,7.975569000001997,7.975569000001997,10.917577000000165,3,1.1957663999928627,None,10.918504899993422,10.918800100000226,10.918812599993544,10.934280499990564,13.431143399997381,13.416304899990791,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
horse,3,stim//obj2.png,stim//horse3.png,Full Right,Half Left,Half Right,Full Left,Shoe,Horse,Turtle,Car,False,2,2.341,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,14.529251200001454,,,,,,,,,,,13.416683999996167,13.431143399997381,13.431143399997381,14.529251200001454,14.529251200001454,14.41501289998996,14.4161305000016,14.529251200001454,14.529251200001454,14.764081499990425,14.764081499990425,14.748131100001046,14.748186600001645,14.764081499990425,15.113273499999195,14.998205099996994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
horse,3,stim//obj2.png,stim//horse3.png,Full Right,Half Left,Half Right,Full Left,Shoe,Horse,Turtle,Car,False,2,2.341,,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,0,15.113273499999195,,,,,,,,,,,,,,,,,14.99870660000306,15.113273499999195,15.113273499999195,15.34687649999978,15.34687649999978,15.330935499994666,15.330953099997714,15.34687649999978,15.696474199998192,15.58167699999467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
horse,3,stim//obj2.png,stim//horse3.png,Full Right,Half Left,Half Right,Full Left,Shoe,Horse,Turtle,Car,False,2,2.341,,,,,,,,,,,,,,,,,0,1,1,1,2,0,2,0,15.696474199998192,,,,,,,,,,,,,,,,,15.582358400002704,15.696474199998192,15.696474199998192,15.930578100000275,15.930578100000275,15.915059199993266,15.915106499989633,15.930578100000275,16.226798799994867,16.164911599989864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
horse,4,stim//ori2.png,stim//horse4.png,Horse,Turtle,Shoe,Car,Full Left,Full Right,Half Right,Half Left,True,2,2.614,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,20.29394209999009,,,,,,,,,,,19.182318699997268,19.198069999998552,19.198069999998552,20.29394209999009,20.29394209999009,20.180111299996497,20.181431299992255,20.29394209999009,20.29394209999009,20.529048900003545,20.529048900003545,20.51351999999315,20.513557500002207,20.529048900003545,20.878913399996236,20.76346210000338,16.204928599996492,16.226798799994867,16.226798799994867,16.226798799994867,16.226798799994867,16.226798799994867,16.226798799994867,16.226798799994867,16.226798799994867,16.226798799994867,16.226798799994867,16.226798799994867,16.226798799994867,16.226798799994867,16.226798799994867,19.18146639999759,None,,,19.182144399994286,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
horse,4,stim//ori2.png,stim//horse4.png,Horse,Turtle,Shoe,Car,Full Left,Full Right,Half Right,Half Left,True,2,2.614,,,,,,,,,,,,,,,,,0,2,2,2,1,0,1,0,20.878913399996236,,,,,,,,,,,,,,,,,20.764242399993236,20.878913399996236,20.878913399996236,21.12857780000195,21.12857780000195,21.11250589998963,21.11252599999716,21.12857780000195,21.47830149999936,21.362946099994588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
horse,4,stim//ori2.png,stim//horse4.png,Horse,Turtle,Shoe,Car,Full Left,Full Right,Half Right,Half Left,True,2,2.614,,,,,,,,,,,,,,,,,0,2,2,2,2,0,2,0,21.47830149999936,,,,,,,,,,,,,,,,,21.36348299999372,21.47830149999936,21.47830149999936,21.7118441999919,21.7118441999919,21.69609469998977,21.696127699993667,21.7118441999919,22.008476100003463,21.946033300002455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
horse,4,stim//ori2.png,stim//horse4.png,Horse,Turtle,Shoe,Car,Full Left,Full Right,Half Right,Half Left,True,2,2.614,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.985507099991082,22.008476100003463,22.008476100003463,22.008476100003463,22.008476100003463,22.008476100003463,22.008476100003463,22.008476100003463,22.008476100003463,22.008476100003463,22.008476100003463,22.008476100003463,22.008476100003463,22.008476100003463,22.008476100003463,24.964405299993814,3,2.699456700007431,None,24.96551749999344,24.965910799990525,24.96592669999518,24.97911539999768,27.593133699992904,27.57894469999883,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
shoe,2,stim//obj1.png,stim//shoe2.png,Half Left,Full Right,Half Right,Full Left,Horse,Shoe,Car,Turtle,False,2,2.427,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,28.70123999999487,,,,,,,,,,,27.579175899998518,27.593133699992904,27.593133699992904,28.70123999999487,28.70123999999487,28.57731639999838,28.578399599995464,28.70123999999487,28.70123999999487,28.94308359999559,28.94308359999559,28.927145599998767,28.927179499994963,28.94308359999559,29.29254919999221,29.176925199994002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
shoe,2,stim//obj1.png,stim//shoe2.png,Half Left,Full Right,Half Right,Full Left,Horse,Shoe,Car,Turtle,False,2,2.427,,,,,,,,,,,,,,,,,0,3,3,3,1,0,1,0,29.29254919999221,,,,,,,,,,,,,,,,,29.177430299998377,29.29254919999221,29.29254919999221,29.5262756000011,29.5262756000011,29.510580999995,29.510618999993312,29.5262756000011,29.874500599995372,29.760339899992687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
shoe,2,stim//obj1.png,stim//shoe2.png,Half Left,Full Right,Half Right,Full Left,Horse,Shoe,Car,Turtle,False,2,2.427,,,,,,,,,,,,,,,,,0,3,3,3,2,0,2,0,29.874500599995372,,,,,,,,,,,,,,,,,29.76092279999284,29.874500599995372,29.874500599995372,30.109452499993495,30.109452499993495,30.093630999996094,30.093668799992884,30.109452499993495,30.410678300002473,30.343513200001325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
shoe,2,stim//obj1.png,stim//shoe2.png,Half Left,Full Right,Half Right,Full Left,Horse,Shoe,Car,Turtle,False,2,2.427,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.388768499993603,30.410678300002473,30.410678300002473,30.410678300002473,30.410678300002473,30.410678300002473,30.410678300002473,30.410678300002473,30.410678300002473,30.410678300002473,30.410678300002473,30.410678300002473,30.410678300002473,30.410678300002473,30.410678300002473,33.360240499998326,2,1.7369346000050427,None,33.360998099989956,33.361245599997346,33.36125619999075,33.37758970000141,35.807235699991,35.79248609999195,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
shoe,1,stim//ori1.png,stim//shoe1.png,Car,Horse,Turtle,Shoe,Full Right,Half Left,Half Right,Full Left,True,4,2.384,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,36.90726939999149,,,,,,,,,,,35.79292749999149,35.807235699991,35.807235699991,36.90726939999149,36.90726939999149,36.79140400000324,36.79268769999908,36.90726939999149,36.90726939999149,37.15699139999924,37.15699139999924,37.14115039999888,37.141183599989745,37.15699139999924,37.50774119999551,37.39117269999406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
shoe,1,stim//ori1.png,stim//shoe1.png,Car,Horse,Turtle,Shoe,Full Right,Half Left,Half Right,Full Left,True,4,2.384,,,,,,,,,,,,,,,,,0,4,4,4,1,0,1,0,37.50774119999551,,,,,,,,,,,,,,,,,37.39172859999235,37.50774119999551,37.50774119999551,37.75683349999599,37.75683349999599,37.740993799990974,37.74102479999419,37.75683349999599,38.10458769999968,37.99074049999763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
shoe,1,stim//ori1.png,stim//shoe1.png,Car,Horse,Turtle,Shoe,Full Right,Half Left,Half Right,Full Left,True,4,2.384,,,,,,,,,,,,,,,,,0,4,4,4,2,0,2,0,38.10458769999968,,,,,,,,,,,,,,,,,37.99126100000285,38.10458769999968,38.10458769999968,38.33980539999902,38.33980539999902,38.32415790000232,38.32419040000241,38.33980539999902,38.61684299999615,38.5732871999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
shoe,1,stim//ori1.png,stim//shoe1.png,Car,Horse,Turtle,Shoe,Full Right,Half Left,Half Right,Full Left,True,4,2.384,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.59695159998955,38.61684299999615,38.61684299999615,38.61684299999615,38.61684299999615,38.61684299999615,38.61684299999615,38.61684299999615,38.61684299999615,38.61684299999615,38.61684299999615,38.61684299999615,38.61684299999615,38.61684299999615,38.61684299999615,41.57424619999074,4,1.9469286000094144,None,41.57518810000329,41.57548050000332,41.57549190000282,41.590505300002405,43.988102999996045,43.97333280000021,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
car,2,stim//obj1.png,stim//car2.png,Half Left,Full Right,Half Right,Full Left,Car,Horse,Turtle,Shoe,False,1,2.527,,,,,,,,,,,,,,,,,0,5,5,5,0,0,0,0,45.0918485000002,,,,,,,,,,,43.973783299996285,43.988102999996045,43.988102999996045,45.0918485000002,45.0918485000002,44.97221659999923,44.97352590000082,45.0918485000002,45.0918485000002,45.33874439999636,45.33874439999636,45.32178679999197,45.32182099999045,45.33874439999636,45.67557169999054,45.57177149999188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
car,2,stim//obj1.png,stim//car2.png,Half Left,Full Right,Half Right,Full Left,Car,Horse,Turtle,Shoe,False,1,2.527,,,,,,,,,,,,,,,,,0,5,5,5,1,0,1,0,45.67557169999054,,,,,,,,,,,,,,,,,45.572299399995245,45.67557169999054,45.67557169999054,45.920937699993374,45.920937699993374,45.905054899994866,45.90508759999648,45.920937699993374,46.27094970000326,46.15493730000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
car,2,stim//obj1.png,stim//car2.png,Half Left,Full Right,Half Right,Full Left,Car,Horse,Turtle,Shoe,False,1,2.527,,,,,,,,,,,,,,,,,0,5,5,5,2,0,2,0,46.27094970000326,,,,,,,,,,,,,,,,,46.15545639999618,46.27094970000326,46.27094970000326,46.52073429999291,46.52073429999291,46.50512560000061,46.50516279999283,46.52073429999291,46.82288289999997,46.75486990000354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
car,2,stim//obj1.png,stim//car2.png,Half Left,Full Right,Half Right,Full Left,Car,Horse,Turtle,Shoe,False,1,2.527,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.80265929999587,46.82288289999997,46.82288289999997,46.82288289999997,46.82288289999997,46.82288289999997,46.82288289999997,46.82288289999997,46.82288289999997,46.82288289999997,46.82288289999997,46.82288289999997,46.82288289999997,46.82288289999997,46.82288289999997,49.771961399994325,1,1.068402499993681,None,49.77312349999556,49.77346769999713,49.773483899989515,49.78779780000332,52.318440699993516,52.30333139999129,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Car,Horse,Turtle,Shoe,Half Right,Half Left,Full Right,Full Left,True,4,2.362,,,,,,,,,,,,,,,,,0,6,6,6,0,0,0,0,53.41866999999911,,,,,,,,,,,52.30364669999108,52.318440699993516,52.318440699993516,53.41866999999911,53.41866999999911,53.30299399999785,53.30412790000264,53.41866999999911,53.41866999999911,53.66795319999801,53.66795319999801,53.65203109999129,53.65205039999273,53.66795319999801,54.017891399998916,53.902351500000805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Car,Horse,Turtle,Shoe,Half Right,Half Left,Full Right,Full Left,True,4,2.362,,,,,,,,,,,,,,,,,0,6,6,6,1,0,1,0,54.017891399998916,,,,,,,,,,,,,,,,,53.902905199996894,54.017891399998916,54.017891399998916,54.25140399999509,54.25140399999509,54.2357989000011,54.2358305999951,54.25140399999509,54.60022089999984,54.48548550000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Car,Horse,Turtle,Shoe,Half Right,Half Left,Full Right,Full Left,True,4,2.362,,,,,,,,,,,,,,,,,0,6,6,6,2,0,2,0,54.60022089999984,,,,,,,,,,,,,,,,,54.48602189999656,54.60022089999984,54.60022089999984,54.83468359999824,54.83468359999824,54.818814199999906,54.818846800000756,54.83468359999824,55.139614300001995,55.068752599996515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Car,Horse,Turtle,Shoe,Half Right,Half Left,Full Right,Full Left,True,4,2.362,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.119795599995996,55.139614300001995,55.139614300001995,55.139614300001995,55.139614300001995,55.139614300001995,55.139614300001995,55.139614300001995,55.139614300001995,55.139614300001995,55.139614300001995,55.139614300001995,55.139614300001995,55.139614300001995,55.139614300001995,58.08527100000356,4,1.344516700002714,None,58.08721489999152,58.08771649999835,58.08774139999878,58.10068940000201,60.465951599995606,60.450753400000394,,,,,,,,91,1,2023-11-10_14h59.43.546,pilotv2,2023.2.3,59.95796946444539,2023-11-10 14h59.51.755665 +0100,
