1.8765 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
12.6021 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [2560, 1440]. Using actual size
13.2769 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023F9EF33C10>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023F9EF33BB0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023F9EF339D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023F9F2CA6D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([2560, 1440]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.2773 	EXP 	window1: mouseVisible = True
13.2774 	EXP 	window1: backgroundImage = ''
13.2774 	EXP 	window1: backgroundFit = 'none'
13.2807 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.2807 	EXP 	window1: recordFrameIntervals = False
13.4427 	EXP 	window1: recordFrameIntervals = True
13.6263 	EXP 	Screen (0) actual frame rate measured at 59.84Hz
13.6263 	EXP 	window1: recordFrameIntervals = False
13.6264 	EXP 	window1: mouseVisible = False
15.1291 	EXP 	pilotv2: status = STARTED
15.1295 	EXP 	window1: mouseVisible = True
15.1398 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
15.1401 	EXP 	window1: mouseVisible = True
15.1402 	EXP 	window1: mouseVisible = True
15.1407 	EXP 	window1: mouseVisible = True
15.1412 	EXP 	window1: mouseVisible = True
15.1636 	EXP 	window1: mouseVisible = True
15.1638 	EXP 	window1: mouseVisible = True
15.1642 	EXP 	window1: mouseVisible = True
15.1646 	EXP 	window1: mouseVisible = True
15.1847 	EXP 	window1: mouseVisible = True
15.1849 	EXP 	window1: mouseVisible = True
15.1851 	EXP 	window1: mouseVisible = True
15.1855 	EXP 	window1: mouseVisible = True
15.1859 	EXP 	window1: mouseVisible = True
15.2042 	EXP 	window1: mouseVisible = True
15.2043 	EXP 	window1: mouseVisible = True
15.2047 	EXP 	window1: mouseVisible = True
15.2051 	EXP 	window1: mouseVisible = True
15.2079 	EXP 	window1: mouseVisible = True
15.2080 	EXP 	window1: mouseVisible = True
15.2482 	EXP 	Created text_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_8', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
15.2484 	EXP 	window1: mouseVisible = True
15.2485 	EXP 	window1: mouseVisible = True
15.2490 	EXP 	window1: mouseVisible = True
15.2494 	EXP 	window1: mouseVisible = True
15.2783 	EXP 	window1: mouseVisible = True
15.2785 	EXP 	window1: mouseVisible = True
15.2789 	EXP 	window1: mouseVisible = True
15.2793 	EXP 	window1: mouseVisible = True
15.2908 	EXP 	window1: mouseVisible = True
15.2910 	EXP 	window1: mouseVisible = True
15.2911 	EXP 	window1: mouseVisible = True
15.2916 	EXP 	window1: mouseVisible = True
15.2920 	EXP 	window1: mouseVisible = True
15.3006 	EXP 	window1: mouseVisible = True
15.3007 	EXP 	window1: mouseVisible = True
15.3012 	EXP 	window1: mouseVisible = True
15.3016 	EXP 	window1: mouseVisible = True
15.3040 	EXP 	window1: mouseVisible = True
15.3041 	EXP 	window1: mouseVisible = True
15.3091 	EXP 	Created image_17 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori1.png', interpolate=True, mask=None, maskParams=None, name='image_17', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
15.3092 	EXP 	window1: mouseVisible = True
