1.6361 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
6.5660 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [2560, 1440]. Using actual size
7.2296 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D3E7F60EB0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D3E7F60E50>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D3E7F60C70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D3E82FA970>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([2560, 1440]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.2297 	EXP 	window1: mouseVisible = True
7.2298 	EXP 	window1: backgroundImage = ''
7.2298 	EXP 	window1: backgroundFit = 'none'
7.2330 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.2331 	EXP 	window1: recordFrameIntervals = False
7.3952 	EXP 	window1: recordFrameIntervals = True
7.5785 	EXP 	Screen (0) actual frame rate measured at 60.07Hz
7.5785 	EXP 	window1: recordFrameIntervals = False
7.5786 	EXP 	window1: mouseVisible = False
8.9580 	EXP 	pilotv2: status = STARTED
8.9585 	EXP 	window1: mouseVisible = True
8.9690 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
8.9692 	EXP 	window1: mouseVisible = True
8.9693 	EXP 	window1: mouseVisible = True
8.9698 	EXP 	window1: mouseVisible = True
8.9703 	EXP 	window1: mouseVisible = True
8.9930 	EXP 	window1: mouseVisible = True
8.9931 	EXP 	window1: mouseVisible = True
8.9936 	EXP 	window1: mouseVisible = True
8.9940 	EXP 	window1: mouseVisible = True
9.0148 	EXP 	window1: mouseVisible = True
9.0150 	EXP 	window1: mouseVisible = True
9.0151 	EXP 	window1: mouseVisible = True
9.0156 	EXP 	window1: mouseVisible = True
9.0160 	EXP 	window1: mouseVisible = True
9.0340 	EXP 	window1: mouseVisible = True
9.0341 	EXP 	window1: mouseVisible = True
9.0346 	EXP 	window1: mouseVisible = True
9.0350 	EXP 	window1: mouseVisible = True
9.0376 	EXP 	window1: mouseVisible = True
9.0378 	EXP 	window1: mouseVisible = True
9.0739 	EXP 	Created text_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_8', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.0741 	EXP 	window1: mouseVisible = True
9.0742 	EXP 	window1: mouseVisible = True
9.0746 	EXP 	window1: mouseVisible = True
9.0750 	EXP 	window1: mouseVisible = True
9.1038 	EXP 	window1: mouseVisible = True
