1.8196 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
10.3889 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [2560, 1440]. Using actual size
10.7292 	DATA 	Keypress: tab
11.0539 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F148F93CA0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F148F93C40>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F148F93A60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F14932A760>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([2560, 1440]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.0541 	EXP 	window1: mouseVisible = True
11.0541 	EXP 	window1: backgroundImage = ''
11.0541 	EXP 	window1: backgroundFit = 'none'
11.0575 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.0575 	EXP 	window1: recordFrameIntervals = False
11.2193 	EXP 	window1: recordFrameIntervals = True
11.4027 	EXP 	Screen (0) actual frame rate measured at 60.02Hz
11.4028 	EXP 	window1: recordFrameIntervals = False
11.4030 	EXP 	window1: mouseVisible = False
12.8904 	EXP 	pilotv2: status = STARTED
12.8908 	EXP 	window1: mouseVisible = True
12.9010 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
12.9013 	EXP 	window1: mouseVisible = True
12.9014 	EXP 	window1: mouseVisible = True
12.9019 	EXP 	window1: mouseVisible = True
12.9023 	EXP 	window1: mouseVisible = True
12.9249 	EXP 	window1: mouseVisible = True
12.9250 	EXP 	window1: mouseVisible = True
12.9255 	EXP 	window1: mouseVisible = True
12.9259 	EXP 	window1: mouseVisible = True
12.9458 	EXP 	window1: mouseVisible = True
12.9461 	EXP 	window1: mouseVisible = True
12.9462 	EXP 	window1: mouseVisible = True
12.9466 	EXP 	window1: mouseVisible = True
12.9471 	EXP 	window1: mouseVisible = True
12.9653 	EXP 	window1: mouseVisible = True
12.9654 	EXP 	window1: mouseVisible = True
12.9659 	EXP 	window1: mouseVisible = True
12.9663 	EXP 	window1: mouseVisible = True
12.9688 	EXP 	window1: mouseVisible = True
12.9690 	EXP 	window1: mouseVisible = True
13.0100 	EXP 	Created text_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_8', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
13.0103 	EXP 	window1: mouseVisible = True
13.0104 	EXP 	window1: mouseVisible = True
13.0109 	EXP 	window1: mouseVisible = True
13.0113 	EXP 	window1: mouseVisible = True
13.0402 	EXP 	window1: mouseVisible = True
13.0403 	EXP 	window1: mouseVisible = True
13.0407 	EXP 	window1: mouseVisible = True
13.0411 	EXP 	window1: mouseVisible = True
13.0525 	EXP 	window1: mouseVisible = True
13.0527 	EXP 	window1: mouseVisible = True
13.0528 	EXP 	window1: mouseVisible = True
13.0532 	EXP 	window1: mouseVisible = True
13.0537 	EXP 	window1: mouseVisible = True
13.0623 	EXP 	window1: mouseVisible = True
13.0624 	EXP 	window1: mouseVisible = True
13.0628 	EXP 	window1: mouseVisible = True
13.0633 	EXP 	window1: mouseVisible = True
13.0659 	EXP 	window1: mouseVisible = True
13.0660 	EXP 	window1: mouseVisible = True
13.0714 	EXP 	Created image_17 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori1.png', interpolate=True, mask=None, maskParams=None, name='image_17', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
13.0715 	EXP 	window1: mouseVisible = True
13.0751 	EXP 	Created text_9 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_9', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
13.0753 	EXP 	window1: mouseVisible = True
13.0754 	EXP 	window1: mouseVisible = True
13.0758 	EXP 	window1: mouseVisible = True
13.0762 	EXP 	window1: mouseVisible = True
13.0792 	EXP 	window1: mouseVisible = True
13.0793 	EXP 	window1: mouseVisible = True
13.0797 	EXP 	window1: mouseVisible = True
13.0802 	EXP 	window1: mouseVisible = True
13.0826 	EXP 	window1: mouseVisible = True
13.0828 	EXP 	window1: mouseVisible = True
13.0829 	EXP 	window1: mouseVisible = True
13.0833 	EXP 	window1: mouseVisible = True
13.0839 	EXP 	window1: mouseVisible = True
13.0869 	EXP 	window1: mouseVisible = True
13.0870 	EXP 	window1: mouseVisible = True
13.0874 	EXP 	window1: mouseVisible = True
13.0878 	EXP 	window1: mouseVisible = True
13.0903 	EXP 	window1: mouseVisible = True
13.0904 	EXP 	window1: mouseVisible = True
