category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trialstest.thisRepN,trialstest.thisTrialN,trialstest.thisN,trialstest.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,ITI.started,fixCrossR.started,fixCrossR.stopped,ITI.stopped,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
horse,1,stim//ori2.png,stim//horse1.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.581,,,,,0,0,0,0,0,0,0,0,1.2769845000002533,,0.05218540001078509,0.0636225999915041,1.0123040000034962,1.0138732999912463,1.2769845000002533,1.2769845000002533,1.5284629999950994,1.5284629999950994,1.5141169999842532,1.5141480999882333,1.5284629999950994,1.9614750999899115,1.7627421999932267,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_05h09.49.569,pilotv1,2023.2.3,60.26946478363712,2023-11-06 05h10.06.972606 +0100,
horse,1,stim//ori2.png,stim//horse1.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.581,,,,,0,0,0,0,1,0,1,0,1.9614750999899115,,,,,1.7633490999869537,1.9614750999899115,1.9614750999899115,2.211771200003568,2.211771200003568,2.1972714999865275,2.197301200008951,2.211771200003568,2.6253163999936078,2.4460745000105817,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_05h09.49.569,pilotv1,2023.2.3,60.26946478363712,2023-11-06 05h10.06.972606 +0100,
horse,1,stim//ori2.png,stim//horse1.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.581,,,,,0,0,0,0,2,0,2,0,2.6253163999936078,,,,,2.446632699982729,2.6253163999936078,2.6253163999936078,2.8752656999859028,2.8752656999859028,2.859657099994365,2.859687899996061,2.8752656999859028,3.2092035000096075,3.109391300007701,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_05h09.49.569,pilotv1,2023.2.3,60.26946478363712,2023-11-06 05h10.06.972606 +0100,
horse,1,stim//ori2.png,stim//horse1.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.581,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,3.1095550000027288,3.2092035000096075,3.2092035000096075,3.2092035000096075,3.2092035000096075,3.2092035000096075,3.2092035000096075,3.2092035000096075,3.2092035000096075,3.2092035000096075,3.2092035000096075,3.2092035000096075,3.2092035000096075,3.2092035000096075,3.2092035000096075,6.126084799994715,1,1.0186386999848764,None,6.1291968000005,6.142050800001016,8.741822999989381,8.709381599997869,,,001,2023-11-06_05h09.49.569,pilotv1,2023.2.3,60.26946478363712,2023-11-06 05h10.06.972606 +0100,
horse,1,stim//obj2.png,stim//horse1.png,shoe,turtle,car,horse,full right,slight left,slight right,full left,True,2.775,,,,,0,1,1,1,0,0,0,0,9.908494600007543,,8.709942299989052,8.741822999989381,9.725316800002474,9.726563700009137,9.908494600007543,9.908494600007543,10.158451600000262,10.158451600000262,10.142694499983918,10.142724500008626,10.158451600000262,10.559882300003665,10.39266489999136,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_05h09.49.569,pilotv1,2023.2.3,60.26946478363712,2023-11-06 05h10.06.972606 +0100,
horse,1,stim//obj2.png,stim//horse1.png,shoe,turtle,car,horse,full right,slight left,slight right,full left,True,2.775,,,,,0,1,1,1,1,0,1,0,10.559882300003665,,,,,10.393209400004707,10.559882300003665,10.559882300003665,10.811643799999729,10.811643799999729,10.797327300009783,10.797357200004626,10.811643799999729,11.375157300004503,11.045729600009508,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_05h09.49.569,pilotv1,2023.2.3,60.26946478363712,2023-11-06 05h10.06.972606 +0100,
horse,1,stim//obj2.png,stim//horse1.png,shoe,turtle,car,horse,full right,slight left,slight right,full left,True,2.775,,,,,0,1,1,1,2,0,2,0,11.375157300004503,,,,,11.04627600000822,11.375157300004503,11.375157300004503,11.62507199999527,11.62507199999527,11.609370799997123,11.609400199988158,11.62507199999527,11.925113800010877,11.85933209999348,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_05h09.49.569,pilotv1,2023.2.3,60.26946478363712,2023-11-06 05h10.06.972606 +0100,
horse,1,stim//obj2.png,stim//horse1.png,shoe,turtle,car,horse,full right,slight left,slight right,full left,True,2.775,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,11.85948849999113,11.925113800010877,11.925113800010877,11.925113800010877,11.925113800010877,11.925113800010877,11.925113800010877,11.925113800010877,11.925113800010877,11.925113800010877,11.925113800010877,11.925113800010877,11.925113800010877,11.925113800010877,11.925113800010877,14.875357699987944,4,1.0819632000057027,None,14.878220299986424,14.891806300001917,17.675007399986498,17.659150799998315,,,001,2023-11-06_05h09.49.569,pilotv1,2023.2.3,60.26946478363712,2023-11-06 05h10.06.972606 +0100,
shoe,1,stim//obj2.png,stim//shoe1.png,car,shoe,horse,turtle,full left,slight left,slight right,full right,True,2.161,,,,,0,2,2,2,0,0,0,0,18.825168699986534,,17.659725700010313,17.675007399986498,18.65927869998268,18.66044919998967,18.825168699986534,18.825168699986534,19.075020999996923,19.075020999996923,19.05913569999393,19.05916529998649,19.075020999996923,19.49180679998244,19.309236000000965,,,,,,,,,,,,,,,,,,,,,,,,18.825168699986534,,001,2023-11-06_05h09.49.569,pilotv1,2023.2.3,60.26946478363712,2023-11-06 05h10.06.972606 +0100,
shoe,1,stim//obj2.png,stim//shoe1.png,car,shoe,horse,turtle,full left,slight left,slight right,full right,True,2.161,,,,,0,2,2,2,1,0,1,0,19.49180679998244,,,,,19.309790500003146,19.49180679998244,19.49180679998244,19.741689099988434,19.741689099988434,19.725821500003804,19.725851299997885,19.741689099988434,20.259091799991438,19.97608379999292,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_05h09.49.569,pilotv1,2023.2.3,60.26946478363712,2023-11-06 05h10.06.972606 +0100,
