category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trialstest.thisRepN,trialstest.thisTrialN,trialstest.thisN,trialstest.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,testcancel.thisRepN,testcancel.thisTrialN,testcancel.thisN,testcancel.thisIndex,thisRow.t,notes,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,accCheck.started,text_18.started,text_19.started,accCheck.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04722750000655651,0.0628621999931056,0.0628621999931056,2.330258000001777,['5'],[2.2546926999930292],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h32.45.832,pilotv1,2023.2.3,60.026928082327856,2023-11-06 15h32.56.304047 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,0,0,0,0,,,,,3.5121813000005204,,,,,,,,,2.365424699994037,2.378639300004579,3.345828999998048,3.35805030001211,3.5121813000005204,3.5121813000005204,3.7621189999917988,3.7621189999917988,3.746451499988325,3.74648200001684,3.7621189999917988,4.114228099992033,3.995890899997903,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h32.45.832,pilotv1,2023.2.3,60.026928082327856,2023-11-06 15h32.56.304047 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,1,0,1,0,,,,,4.114228099992033,,,,,,,,,,,,3.99629820001428,4.114228099992033,4.114228099992033,4.365640700008953,4.365640700008953,4.350772400008282,4.350797099992633,4.365640700008953,4.795470799988834,4.599185900005978,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h32.45.832,pilotv1,2023.2.3,60.026928082327856,2023-11-06 15h32.56.304047 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,2,0,2,0,,,,,4.795470799988834,,,,,,,,,,,,4.5994328999950085,4.795470799988834,4.795470799988834,5.0452797999896575,5.0452797999896575,5.029184599989094,5.029206300008809,5.0452797999896575,5.328707100008614,5.279384800000116,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h32.45.832,pilotv1,2023.2.3,60.026928082327856,2023-11-06 15h32.56.304047 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2796243999910075,5.328707100008614,5.328707100008614,5.328707100008614,5.328707100008614,5.328707100008614,5.328707100008614,5.328707100008614,5.328707100008614,5.328707100008614,5.328707100008614,5.328707100008614,5.328707100008614,5.328707100008614,5.328707100008614,8.2955229000072,2,1.248820299981162,None,8.298309000005247,8.312135300016962,8.312135300016962,9.295646000013221,,001,2023-11-06_15h32.45.832,pilotv1,2023.2.3,60.026928082327856,2023-11-06 15h32.56.304047 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,0,0,0,0,,,,,10.429841100005433,,,,,,,,,9.295904099999461,9.312223499990068,10.295544199994765,10.296051000012085,10.429841100005433,10.429841100005433,10.681500000006054,10.681500000006054,10.666967900004238,10.66700360001414,10.681500000006054,11.045317800017074,10.91546560000279,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h32.45.832,pilotv1,2023.2.3,60.026928082327856,2023-11-06 15h32.56.304047 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,1,0,1,0,,,,,11.045317800017074,,,,,,,,,,,,10.915768500010017,11.045317800017074,11.045317800017074,11.295213700010208,11.295213700010208,11.279229000007035,11.279248100006953,11.295213700010208,11.712584799999604,11.529530700005125,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h32.45.832,pilotv1,2023.2.3,60.026928082327856,2023-11-06 15h32.56.304047 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,2,0,2,0,,,,,11.712584799999604,,,,,,,,,,,,11.529881499998737,11.712584799999604,11.712584799999604,11.96460800000932,11.96460800000932,11.950199400016572,11.950231199996779,11.96460800000932,12.228721799998311,12.198529799992684,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h32.45.832,pilotv1,2023.2.3,60.026928082327856,2023-11-06 15h32.56.304047 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.19869610000751,12.228721799998311,12.228721799998311,12.228721799998311,12.228721799998311,12.228721799998311,12.228721799998311,12.228721799998311,12.228721799998311,12.228721799998311,12.228721799998311,12.228721799998311,12.228721799998311,12.228721799998311,12.228721799998311,15.212232699996093,4,1.5645452000026125,None,15.213673799997196,15.228501900011906,15.228501900011906,16.21214059999329,,001,2023-11-06_15h32.45.832,pilotv1,2023.2.3,60.026928082327856,2023-11-06 15h32.56.304047 +0100,
horse,4,stim//obj1.png,stim//horse4.png,full right,slight right,slight left,full left,horse,car,shoe,turtle,False,2.161,,,,,0,2,2,2,0,0,0,0,,,,,17.345383200008655,,,,,,,,,16.212393599998904,16.22863560001133,17.21213600001647,17.212994600005914,17.345383200008655,17.345383200008655,17.595092100003967,17.595092100003967,17.579050200001802,17.579074200009927,17.595092100003967,17.961906899989117,17.829626999999164,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h32.45.832,pilotv1,2023.2.3,60.026928082327856,2023-11-06 15h32.56.304047 +0100,
