category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,welcome.started,welcometext.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instructions.started,instr_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,key_resp_3.started,text_2.started,image_2.started,instr2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,symb1.started,key_resp_4.started,image_3.started,image_4.started,image_5.started,image_6.started,image_22.started,image_23.started,text_3.started,symb1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,symb2.started,image_7.started,image_8.started,image_9.started,image_10.started,image_11.started,image_12.started,text_4.started,key_resp_6.started,symb2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,memor.started,key_resp_7.started,text_5.started,image_13.started,image_14.started,image_15.started,image_16.started,text_6.started,text_7.started,memor.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,gratz.started,text_12.started,key_resp_8.started,gratz.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,respo1.started,key_resp_9.started,text_13.started,image_25.started,respo1.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,respo2.started,key_resp_10.started,text_14.started,image_24.started,respo2.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,respo3.started,key_resp_11.started,text_15.started,image_21.started,respo3.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,ITI.started,fixCrossR.started,fixCrossR.stopped,ITI.stopped,codeAcc.started,cue.stopped,kb.rt,kb.duration,codeAcc.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.040313700010301545,0.05653309999615885,0.05653309999615885,6.407653700007359,space,6.338955900020665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.407705299992813,6.4232485000102315,6.4232485000102315,8.891361100017093,space,2.4560271999798715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.891385099996114,8.989711500005797,8.989711500005797,8.989711500005797,13.091130799992243,space,4.089073199982522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.091168400016613,13.256488100014394,13.256488100014394,13.256488100014394,13.256488100014394,13.256488100014394,13.256488100014394,13.256488100014394,13.256488100014394,22.02358219999587,space,8.757082600001013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.02360570000019,22.189593799994327,22.189593799994327,22.189593799994327,22.189593799994327,22.189593799994327,22.189593799994327,22.189593799994327,22.189593799994327,29.308091599988984,space,7.110718600015389,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.308136000006925,29.322825600014767,29.322825600014767,29.322825600014767,29.322825600014767,29.322825600014767,29.322825600014767,29.322825600014767,29.322825600014767,32.27387090001139,space,2.9439727000135463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.273895999998786,32.289534100011224,32.289534100011224,32.289534100011224,32.289534100011224,34.937164600007236,0,,,1,[2.6617169000091963],[2.66172390000429],34.937352700013435,34.956135499989614,34.956135499989614,34.956135499989614,34.956135499989614,35.77383900000132,1,[0.8349300999834668],[0.8349340999848209],0,,,35.773901100008516,35.78926109999884,35.78926109999884,35.78926109999884,35.78926109999884,37.44124330001068,0,,,1,[1.6657029000052717],[1.6657081000157632],37.44130599999335,37.45578570000362,37.45578570000362,37.45578570000362,37.45578570000362,38.04074890000629,1,[0.5976054000202566],[0.5976146000029985],0,,,38.04087689999142,38.055985500017414,38.055985500017414,42.624048700003186,space,4.56183650001185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.624108099989826,42.63902040000539,42.63902040000539,42.63902040000539,49.64011050001136,space,6.99232769999071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.64013939999859,49.655873999989126,49.655873999989126,49.655873999989126,58.22316850000061,space,8.560440200002631,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.22319670001161,58.23905060000834,58.23905060000834,58.23905060000834,61.37297719999333,space,3.118059500004165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
