2.3795 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
5.7982 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
6.6386 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022F5623F1F0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022F5623F190>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022F56230460>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022F567A9190>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.6387 	EXP 	window1: mouseVisible = True
6.6387 	EXP 	window1: backgroundImage = ''
6.6387 	EXP 	window1: backgroundFit = 'none'
6.6402 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.6403 	EXP 	window1: recordFrameIntervals = False
6.8041 	EXP 	window1: recordFrameIntervals = True
6.9884 	EXP 	Screen (0) actual frame rate measured at 59.85Hz
6.9885 	EXP 	window1: recordFrameIntervals = False
6.9886 	EXP 	window1: mouseVisible = False
9.1022 	EXP 	pilotv2: status = STARTED
9.1026 	EXP 	window1: mouseVisible = True
9.1126 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2.  , 1.12]), texRes=128.0, units='height', win=Window(...))
9.1129 	EXP 	window1: mouseVisible = True
9.1130 	EXP 	window1: mouseVisible = True
9.1134 	EXP 	window1: mouseVisible = True
9.1138 	EXP 	window1: mouseVisible = True
9.1274 	EXP 	window1: mouseVisible = True
9.1276 	EXP 	window1: mouseVisible = True
9.1280 	EXP 	window1: mouseVisible = True
9.1284 	EXP 	window1: mouseVisible = True
9.1397 	EXP 	window1: mouseVisible = True
9.1399 	EXP 	window1: mouseVisible = True
9.1401 	EXP 	window1: mouseVisible = True
9.1405 	EXP 	window1: mouseVisible = True
9.1409 	EXP 	window1: mouseVisible = True
9.1517 	EXP 	window1: mouseVisible = True
9.1519 	EXP 	window1: mouseVisible = True
9.1523 	EXP 	window1: mouseVisible = True
9.1527 	EXP 	window1: mouseVisible = True
9.1561 	EXP 	window1: mouseVisible = True
9.1563 	EXP 	window1: mouseVisible = True
