InstructionsFilepath,n,buttonBack.numClicks_mean,buttonBack.numClicks_raw,buttonBack.numClicks_std,buttonBack.timesOff_raw,buttonBack.timesOn_raw,buttonNext.numClicks_mean,buttonNext.numClicks_raw,buttonNext.numClicks_std,buttonNext.timesOff_raw,buttonNext.timesOn_raw,order
instructions//slide1.png,1.0,0.0,0.0,0.0,'','',1.0,1.0,0.0,2.1194214000133798,2.119415699999081,0.0

extraInfo
participant,
session,
date,2023-11-06_22h24.31.520
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.71282907243393
expStart,2023-11-06 22h24.36.715796 +0100
﻿InstructionsFilepath,n,buttonBack.numClicks_mean,buttonBack.numClicks_raw,buttonBack.numClicks_std,buttonBack.timesOff_raw,buttonBack.timesOn_raw,buttonNext.numClicks_mean,buttonNext.numClicks_raw,buttonNext.numClicks_std,buttonNext.timesOff_raw,buttonNext.timesOn_raw,order
instructions//slide2.png,1.0,0.0,0.0,0.0,'','',1.0,1.0,0.0,0.48237340000923723,0.4823692000063602,0.0

extraInfo
participant,
session,
date,2023-11-06_22h24.31.520
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.71282907243393
expStart,2023-11-06 22h24.36.715796 +0100
﻿InstructionsFilepath,n,buttonBack.numClicks_mean,buttonBack.numClicks_raw,buttonBack.numClicks_std,buttonBack.timesOff_raw,buttonBack.timesOn_raw,buttonNext.numClicks_mean,buttonNext.numClicks_raw,buttonNext.numClicks_std,buttonNext.timesOff_raw,buttonNext.timesOn_raw,order
instructions//slide3.png,1.0,0.0,0.0,0.0,'','',1.0,1.0,0.0,0.9174748999939766,0.9174705999903381,0.0

extraInfo
participant,
session,
date,2023-11-06_22h24.31.520
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.71282907243393
expStart,2023-11-06 22h24.36.715796 +0100
﻿InstructionsFilepath,n,buttonBack.numClicks_mean,buttonBack.numClicks_raw,buttonBack.numClicks_std,buttonBack.timesOff_raw,buttonBack.timesOn_raw,buttonNext.numClicks_mean,buttonNext.numClicks_raw,buttonNext.numClicks_std,buttonNext.timesOff_raw,buttonNext.timesOn_raw,order
instructions//slide4.png,1.0,0.0,0.0,0.0,'','',1.0,1.0,0.0,0.60648059999221,0.6064714000094682,0.0

extraInfo
participant,
session,
date,2023-11-06_22h24.31.520
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.71282907243393
expStart,2023-11-06 22h24.36.715796 +0100
﻿InstructionsFilepath,n,buttonBack.numClicks_mean,buttonBack.numClicks_raw,buttonBack.numClicks_std,buttonBack.timesOff_raw,buttonBack.timesOn_raw,buttonNext.numClicks_mean,buttonNext.numClicks_raw,buttonNext.numClicks_std,buttonNext.timesOff_raw,buttonNext.timesOn_raw,order
instructions//slide5.png,1.0,1.0,1.0,0.0,1.1814229000010528,1.1814173000166193,0.0,0.0,0.0,'','',0.0

extraInfo
participant,
session,
date,2023-11-06_22h24.31.520
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.71282907243393
expStart,2023-11-06 22h24.36.715796 +0100
﻿InstructionsFilepath,n,buttonBack.numClicks_mean,buttonBack.numClicks_raw,buttonBack.numClicks_std,buttonBack.timesOff_raw,buttonBack.timesOn_raw,buttonNext.numClicks_mean,buttonNext.numClicks_raw,buttonNext.numClicks_std,buttonNext.timesOff_raw,buttonNext.timesOn_raw,order
instructions//slide4.png,1.0,1.0,1.0,0.0,3.4248500999819953,3.4248455000051763,0.0,0.0,0.0,'','',0.0

extraInfo
participant,
session,
date,2023-11-06_22h24.31.520
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.71282907243393
expStart,2023-11-06 22h24.36.715796 +0100
