2.4152 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
5.4203 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
6.1796 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000116D8E94EE0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000116D8E94E80>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000116D8E94C70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000116D93B8DC0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.1798 	EXP 	window1: mouseVisible = True
6.1798 	EXP 	window1: backgroundImage = ''
6.1798 	EXP 	window1: backgroundFit = 'none'
6.1816 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.1816 	EXP 	window1: recordFrameIntervals = False
6.3449 	EXP 	window1: recordFrameIntervals = True
6.5286 	EXP 	Screen (0) actual frame rate measured at 60.03Hz
6.5287 	EXP 	window1: recordFrameIntervals = False
6.5288 	EXP 	window1: mouseVisible = False
8.7505 	EXP 	pilotv2: status = STARTED
8.7509 	EXP 	window1: mouseVisible = True
8.7608 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
8.7611 	EXP 	window1: mouseVisible = True
8.7612 	EXP 	window1: mouseVisible = True
8.7616 	EXP 	window1: mouseVisible = True
8.7620 	EXP 	window1: mouseVisible = True
8.7834 	EXP 	window1: mouseVisible = True
8.7835 	EXP 	window1: mouseVisible = True
8.7840 	EXP 	window1: mouseVisible = True
8.7844 	EXP 	window1: mouseVisible = True
8.8024 	EXP 	window1: mouseVisible = True
8.8026 	EXP 	window1: mouseVisible = True
8.8028 	EXP 	window1: mouseVisible = True
8.8032 	EXP 	window1: mouseVisible = True
8.8036 	EXP 	window1: mouseVisible = True
8.8202 	EXP 	window1: mouseVisible = True
8.8203 	EXP 	window1: mouseVisible = True
8.8207 	EXP 	window1: mouseVisible = True
8.8211 	EXP 	window1: mouseVisible = True
8.8244 	EXP 	window1: mouseVisible = True
8.8246 	EXP 	window1: mouseVisible = True
8.8874 	EXP 	Created text_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_8', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.8876 	EXP 	window1: mouseVisible = True
8.8878 	EXP 	window1: mouseVisible = True
8.8882 	EXP 	window1: mouseVisible = True
8.8886 	EXP 	window1: mouseVisible = True
8.9120 	EXP 	window1: mouseVisible = True
8.9122 	EXP 	window1: mouseVisible = True
8.9126 	EXP 	window1: mouseVisible = True
8.9130 	EXP 	window1: mouseVisible = True
8.9230 	EXP 	window1: mouseVisible = True
8.9232 	EXP 	window1: mouseVisible = True
8.9233 	EXP 	window1: mouseVisible = True
8.9237 	EXP 	window1: mouseVisible = True
8.9241 	EXP 	window1: mouseVisible = True
8.9325 	EXP 	window1: mouseVisible = True
8.9327 	EXP 	window1: mouseVisible = True
8.9331 	EXP 	window1: mouseVisible = True
8.9335 	EXP 	window1: mouseVisible = True
8.9368 	EXP 	window1: mouseVisible = True
8.9368 	EXP 	window1: mouseVisible = True
8.9405 	EXP 	Created image_17 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori1.png', interpolate=True, mask=None, maskParams=None, name='image_17', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
8.9406 	EXP 	window1: mouseVisible = True
8.9452 	EXP 	Created text_9 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_9', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.9454 	EXP 	window1: mouseVisible = True
8.9455 	EXP 	window1: mouseVisible = True
8.9459 	EXP 	window1: mouseVisible = True
8.9463 	EXP 	window1: mouseVisible = True
8.9501 	EXP 	window1: mouseVisible = True
8.9502 	EXP 	window1: mouseVisible = True
8.9506 	EXP 	window1: mouseVisible = True
8.9510 	EXP 	window1: mouseVisible = True
8.9543 	EXP 	window1: mouseVisible = True
8.9545 	EXP 	window1: mouseVisible = True
8.9546 	EXP 	window1: mouseVisible = True
8.9550 	EXP 	window1: mouseVisible = True
8.9554 	EXP 	window1: mouseVisible = True
8.9591 	EXP 	window1: mouseVisible = True
8.9593 	EXP 	window1: mouseVisible = True
8.9597 	EXP 	window1: mouseVisible = True
8.9600 	EXP 	window1: mouseVisible = True
8.9633 	EXP 	window1: mouseVisible = True
8.9634 	EXP 	window1: mouseVisible = True
8.9671 	EXP 	Created image_18 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/obj2.png', interpolate=True, mask=None, maskParams=None, name='image_18', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
8.9672 	EXP 	window1: mouseVisible = True
8.9719 	EXP 	Created text_10 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_10', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.9721 	EXP 	window1: mouseVisible = True
8.9722 	EXP 	window1: mouseVisible = True
8.9726 	EXP 	window1: mouseVisible = True
8.9730 	EXP 	window1: mouseVisible = True
8.9768 	EXP 	window1: mouseVisible = True
8.9769 	EXP 	window1: mouseVisible = True
8.9773 	EXP 	window1: mouseVisible = True
8.9777 	EXP 	window1: mouseVisible = True
8.9809 	EXP 	window1: mouseVisible = True
8.9811 	EXP 	window1: mouseVisible = True
8.9812 	EXP 	window1: mouseVisible = True
8.9816 	EXP 	window1: mouseVisible = True
8.9820 	EXP 	window1: mouseVisible = True
8.9858 	EXP 	window1: mouseVisible = True
8.9859 	EXP 	window1: mouseVisible = True
8.9863 	EXP 	window1: mouseVisible = True
8.9867 	EXP 	window1: mouseVisible = True
8.9899 	EXP 	window1: mouseVisible = True
8.9901 	EXP 	window1: mouseVisible = True
8.9940 	EXP 	Created image_19 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori2.png', interpolate=True, mask=None, maskParams=None, name='image_19', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
8.9942 	EXP 	window1: mouseVisible = True
8.9988 	EXP 	Created text_11 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_11', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.9990 	EXP 	window1: mouseVisible = True
8.9991 	EXP 	window1: mouseVisible = True
8.9995 	EXP 	window1: mouseVisible = True
8.9999 	EXP 	window1: mouseVisible = True
9.0037 	EXP 	window1: mouseVisible = True
9.0038 	EXP 	window1: mouseVisible = True
9.0042 	EXP 	window1: mouseVisible = True
9.0046 	EXP 	window1: mouseVisible = True
9.0080 	EXP 	window1: mouseVisible = True
9.0082 	EXP 	window1: mouseVisible = True
9.0083 	EXP 	window1: mouseVisible = True
9.0087 	EXP 	window1: mouseVisible = True
9.0092 	EXP 	window1: mouseVisible = True
9.0130 	EXP 	window1: mouseVisible = True
9.0131 	EXP 	window1: mouseVisible = True
9.0135 	EXP 	window1: mouseVisible = True
9.0139 	EXP 	window1: mouseVisible = True
9.0184 	EXP 	window1: mouseVisible = True
9.0185 	EXP 	window1: mouseVisible = True
9.0225 	EXP 	Created image_20 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/obj1.png', interpolate=True, mask=None, maskParams=None, name='image_20', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
9.0226 	EXP 	window1: mouseVisible = True
9.0314 	EXP 	Created imageInstruct_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.96, 0.54]), texRes=128.0, units='height', win=Window(...))
9.0318 	EXP 	window1: mouseVisible = True
9.0319 	EXP 	window1: mouseVisible = True
9.0324 	EXP 	window1: mouseVisible = True
9.0330 	EXP 	window1: mouseVisible = True
9.0561 	EXP 	window1: mouseVisible = True
9.0563 	EXP 	window1: mouseVisible = True
9.0567 	EXP 	window1: mouseVisible = True
9.0570 	EXP 	window1: mouseVisible = True
9.0795 	EXP 	window1: mouseVisible = True
9.0797 	EXP 	window1: mouseVisible = True
9.0798 	EXP 	window1: mouseVisible = True
9.0802 	EXP 	window1: mouseVisible = True
9.0806 	EXP 	window1: mouseVisible = True
9.0842 	EXP 	window1: mouseVisible = True
9.0844 	EXP 	window1: mouseVisible = True
9.0848 	EXP 	window1: mouseVisible = True
9.0851 	EXP 	window1: mouseVisible = True
9.0884 	EXP 	window1: mouseVisible = True
9.0885 	EXP 	window1: mouseVisible = True
9.1021 	EXP 	Created text_12 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_12', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.1022 	EXP 	window1: mouseVisible = True
9.1167 	EXP 	Created text_13 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_13', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.1168 	EXP 	window1: mouseVisible = True
