InstructionsFilepath,instructionsCont.thisRepN,instructionsCont.thisTrialN,instructionsCont.thisN,instructionsCont.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,thisRow.t,notes,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide1.png,0,0,0,0,0,0,0,0,0.12426520002190955,,0.01783540000906214,0.018382900016149506,0.023883900023065507,0.12426520002190955,0.12426520002190955,0.12426520002190955,1.0862499000213575,1,[0.9871132999833208],[0.9871325999847613],0,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
instructions//slide2.png,1,0,1,0,0,0,0,0,1.212364200007869,,1.121296000026632,1.1217514000018127,1.1265168000245467,1.212364200007869,1.212364200007869,1.212364200007869,2.797696100024041,1,[1.6011248999857344],[1.6011339999968186],0,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
instructions//slide3.png,2,0,2,0,0,0,0,0,2.963865600002464,,2.8372103000001516,2.8375785000098404,2.841748100006953,2.963865600002464,2.963865600002464,2.963865600002464,5.3632264000189025,1,[2.420546200009994],[2.4205511000182014],0,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
instructions//slide4.png,3,0,3,0,0,0,0,0,5.526149200013606,,5.405093700013822,5.405509300006088,5.409443700016709,5.526149200013606,5.526149200013606,5.526149200013606,6.742691100022057,0,,,1,[1.2383927000046242],[1.2383975999837276],,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
instructions//slide3.png,4,0,4,0,0,0,0,0,6.880416200001491,,6.788297600025544,6.788723600009689,6.793618299998343,6.880416200001491,6.880416200001491,6.880416200001491,7.282577900012257,0,,,1,[0.41833699998096563],[0.4183412999846041],,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
instructions//slide2.png,5,0,5,0,0,0,0,0,7.433736600010889,,7.334836300025927,7.335352900001453,7.339995100017404,7.433736600010889,7.433736600010889,7.433736600010889,7.733329100010451,0,,,1,[0.31998359999852255],[0.31999530000030063],,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
instructions//slide1.png,6,0,6,0,0,0,0,0,7.884733500017319,,7.790419000026304,7.790826300013578,7.795511400006944,7.884733500017319,7.884733500017319,7.884733500017319,8.13349570002174,0,,,1,[0.2694578999944497],[0.26946690000477247],,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
instructions//slide1.png,7,0,7,0,0,0,0,0,8.29736760002561,,8.202790700015612,8.203222600015579,8.20789320001495,8.29736760002561,8.29736760002561,8.29736760002561,8.416662900010124,0,,,1,[0.1394983000063803],[0.13950730001670308],,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
instructions//slide1.png,8,0,8,0,0,0,0,0,8.57924570000614,,8.481961800018325,8.482462100015255,8.486570100008976,8.57924570000614,8.57924570000614,8.57924570000614,8.634188500000164,0,,,1,[0.07698700000764802],[0.07699279999360442],,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
instructions//slide1.png,9,0,9,0,0,0,0,0,8.801523000001907,,8.70224290000624,8.70274020000943,8.707527200022014,8.801523000001907,8.801523000001907,8.801523000001907,9.534201900009066,1,[0.7542720999917947],[0.7542762999946717],0,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
instructions//slide2.png,10,0,10,0,0,0,0,0,9.699266500014346,,9.605170599999838,9.605642700014869,9.610183100012364,9.699266500014346,9.699266500014346,9.699266500014346,9.99938850000035,1,[0.3206674999964889],[0.32067169999936596],0,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
instructions//slide3.png,11,0,11,0,0,0,0,0,10.17744520000997,,10.07802330001141,10.078541100025177,10.08343570001307,10.17744520000997,10.17744520000997,10.17744520000997,10.64859970001271,1,[0.4924808999930974],[0.4924847999936901],0,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h28.24.532,pilotv2,2023.2.3,59.82453463752861,2023-11-06 22h28.30.044428 +0100,
