InstructionsFilepath,instructions_controller.thisRepN,instructions_controller.thisTrialN,instructions_controller.thisN,instructions_controller.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,thisRow.t,notes,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide1.png,0,0,0,0,0,0,0,0,0.1349943999957759,,0.02882619999581948,0.029389699979219586,0.035569699975894764,0.1349943999957759,0.1349943999957759,0.1349943999957759,0.8160849999985658,1,[0.7092191999836359],[0.7092386999865994],0,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
instructions//slide2.png,1,0,1,0,0,0,0,0,0.9515246999799274,,0.8565829999861307,0.8569800999830477,0.8611278999887872,0.9515246999799274,0.9515246999799274,0.9515246999799274,1.286186799989082,1,[0.3550748999987263],[0.35508460001437925],0,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
instructions//slide3.png,2,0,2,0,0,0,0,0,1.4572325999906752,,1.34078969998518,1.3412041999981739,1.3456280999816954,1.4572325999906752,1.4572325999906752,1.4572325999906752,3.3240132999781054,1,[1.8831095999921672],[1.8831135999935213],0,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
instructions//slide4.png,3,0,3,0,0,0,0,0,3.48527939998894,,3.3668690999911632,3.3672985000011977,3.3713999999745283,3.48527939998894,3.48527939998894,3.48527939998894,4.791315799986478,1,[1.3204333999892697],[1.3204456999956165],0,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
instructions//slide5.png,4,0,4,0,0,0,0,0,4.940726499975426,,4.849918799998704,4.850403699994786,4.854883499996504,4.940726499975426,4.940726499975426,4.940726499975426,5.874121000000741,1,[0.9491243000084069],[0.9491329000156838],0,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
instructions//slide6.png,5,0,5,0,0,0,0,0,6.017982999997912,,5.926238099986222,5.926786199997878,5.930921799998032,6.017982999997912,6.017982999997912,6.017982999997912,11.018904799973825,1,[5.018726999987848],[5.018731199990725],0,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h31.12.347,pilotv2,2023.2.3,60.2087557965742,2023-11-06 22h31.18.276446 +0100,
,,,,,,,,,,,11.073526399995899,11.07396399998106,,,,,,,,,,,,,,,,,,,
