InstructionsFilepath,instructions_controller.thisRepN,instructions_controller.thisTrialN,instructions_controller.thisN,instructions_controller.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,thisRow.t,notes,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,Instructions2.started,imageInstruct_2.started,buttonNext_2.started,buttonBack_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide1.png,0,0,0,0,0,0,0,0,0.13047820000792854,,0.022546400025021285,0.02292500002658926,0.027664300025207922,0.13047820000792854,0.13047820000792854,0.13047820000792854,1.866781400021864,1,[1.7703684000007343],[1.7703750999935437],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h39.37.382,pilotv2,2023.2.3,59.86926946789509,2023-11-06 22h39.43.067205 +0100,
,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h39.37.382,pilotv2,2023.2.3,59.86926946789509,2023-11-06 22h39.43.067205 +0100,
instructions//slide2.png,1,0,1,0,0,0,0,0,2.0071689000178594,,1.9090286000282504,1.9094691000063904,1.9146195000212174,2.0071689000178594,2.0071689000178594,2.0071689000178594,2.404554200009443,1,[0.41767450000043027],[0.41768410001532175],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h39.37.382,pilotv2,2023.2.3,59.86926946789509,2023-11-06 22h39.43.067205 +0100,
,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h39.37.382,pilotv2,2023.2.3,59.86926946789509,2023-11-06 22h39.43.067205 +0100,
instructions//slide3.png,2,0,2,0,0,0,0,0,2.5681376000284217,,2.4475234000128694,2.4480600000242703,2.4527990000206046,2.5681376000284217,2.5681376000284217,2.5681376000284217,2.8979938000265975,1,[0.35108960000798106],[0.3510997000266798],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h39.37.382,pilotv2,2023.2.3,59.86926946789509,2023-11-06 22h39.43.067205 +0100,
,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h39.37.382,pilotv2,2023.2.3,59.86926946789509,2023-11-06 22h39.43.067205 +0100,
instructions//slide4.png,3,0,3,0,0,0,0,0,3.066887500026496,,2.943100200005574,2.943619800003944,2.9483540000219364,3.066887500026496,3.066887500026496,3.066887500026496,3.454378500027815,1,[0.4085553000040818],[0.4085655999951996],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h39.37.382,pilotv2,2023.2.3,59.86926946789509,2023-11-06 22h39.43.067205 +0100,
,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h39.37.382,pilotv2,2023.2.3,59.86926946789509,2023-11-06 22h39.43.067205 +0100,
instructions//slide5.png,4,0,4,0,0,0,0,0,3.6135779000178445,,3.514739100006409,3.515130100015085,3.519723300007172,3.6135779000178445,3.6135779000178445,3.6135779000178445,3.9813611000136007,1,[0.3905387000122573],[0.3905434000189416],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h39.37.382,pilotv2,2023.2.3,59.86926946789509,2023-11-06 22h39.43.067205 +0100,
,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h39.37.382,pilotv2,2023.2.3,59.86926946789509,2023-11-06 22h39.43.067205 +0100,
